"fullName","submittedname","acceptedname","sourceid","score","matchedname","authority","uri","phylum","order","country"
"Desmanthus virgatus (L.) Willd.","Desmanthus virgatus","Desmanthus virgatus","iPlant_TNRS","1","Desmanthus virgatus","(L.) Willd.","http://www.tropicos.org/Name/13018299","Tracheophyta","Fabales","IO"
"Digitaria sanguinalis (L.) Scop.","Digitaria sanguinalis","Digitaria sanguinalis","iPlant_TNRS","1","Digitaria sanguinalis","(L.) Scop.","http://www.tropicos.org/Name/25513602",NA,NA,NA
"Dioscorea alata L.","Dioscorea alata","Dioscorea alata","iPlant_TNRS","1","Dioscorea alata","L.","http://www.tropicos.org/Name/11000003",NA,NA,NA
"Dioscorea bulbifera L.","Dioscorea bulbifera","Dioscorea bulbifera","iPlant_TNRS","1","Dioscorea bulbifera","L.","http://www.tropicos.org/Name/11000268",NA,NA,NA
"Dolichandra unguis-cati (L.) L.G. Lohmann","Dolichandra unguis-cati","Dolichandra unguis-cati","iPlant_TNRS","1","Dolichandra unguis-cati","(L.) L.G. Lohmann","http://www.tropicos.org/Name/100182537",NA,NA,NA
"Echinochloa colona (L.) Link","Echinochloa colona","Echinochloa colona","iPlant_TNRS","1","Echinochloa colona","(L.) Link","http://www.tropicos.org/Name/25509517",NA,NA,NA
"Echinochloa colona (L.) Link","Echinochloa colona","Echinochloa colona","iPlant_TNRS","1","Echinochloa colona","(L.) Link","http://www.tropicos.org/Name/25509517",NA,NA,NA
"Eichhornia crassipes (Mart.) Solms","Eichhornia crassipes","Eichhornia crassipes","iPlant_TNRS","1","Eichhornia crassipes","(Mart.) Solms","http://www.tropicos.org/Name/26100027",NA,NA,NA
"Eleocharis geniculata (L.) Roem. & Schult.","Eleocharis geniculata","Eleocharis geniculata","iPlant_TNRS","1","Eleocharis geniculata","(L.) Roem. & Schult.","http://www.tropicos.org/Name/9900349","Tracheophyta","Poales","IO"
"Elephantopus mollis Kunth","Elephantopus mollis","Elephantopus mollis","iPlant_TNRS","1","Elephantopus mollis","Kunth","http://www.tropicos.org/Name/2700684",NA,NA,NA
"Eragrostis amabilis (L.) Wight & Arn.","Eragrostis amabilis","Eragrostis amabilis","iPlant_TNRS","1","Eragrostis amabilis","(L.) Wight & Arn.","http://www.tropicos.org/Name/50305747","Tracheophyta","Poales","IO"
"Eriobotrya japonica (Thunb.) Lindl.","Eriobotrya japonica","Eriobotrya japonica","iPlant_TNRS","1","Eriobotrya japonica","(Thunb.) Lindl.","http://www.tropicos.org/Name/27801732",NA,NA,NA
"Eschscholzia californica Cham.","Eschscholzia californica","Eschscholzia californica","iPlant_TNRS","1","Eschscholzia californica","Cham.","http://www.tropicos.org/Name/24000077",NA,NA,NA
"Eucalyptus camaldulensis Dehnh.","Eucalyptus camaldulensis","Eucalyptus camaldulensis","iPlant_TNRS","1","Eucalyptus camaldulensis","Dehnh.","http://www.tropicos.org/Name/22101716",NA,NA,NA
"Eugenia uniflora L.","Eugenia uniflora","Eugenia uniflora","iPlant_TNRS","1","Eugenia uniflora","L.","http://www.tropicos.org/Name/22101634",NA,NA,NA
"Eupatorium riparium (Regel) R.M. King & H. Rob.","Eupatorium riparium","Ageratina riparia","iPlant_TNRS","1","Eupatorium riparium","(Regel) R.M. King & H. Rob.","http://www.tropicos.org/Name/2709250",NA,NA,NA
"Euphorbia indica Lam.","Euphorbia indica","Euphorbia indica","iPlant_TNRS","1","Euphorbia indica","Lam.","http://www.tropicos.org/Name/12803669",NA,NA,NA
"Euphorbia thymifolia L.","Euphorbia thymifolia","Euphorbia thymifolia","iPlant_TNRS","1","Euphorbia thymifolia","L.","http://www.tropicos.org/Name/12802290","Tracheophyta","Malpighiales","IO"
"Euphorbia tirucalli L.","Euphorbia tirucalli","Euphorbia tirucalli","iPlant_TNRS","1","Euphorbia tirucalli","L.","http://www.tropicos.org/Name/12800056",NA,NA,NA
"Euphorbia tirucalli L.","Euphorbia tirucalli","Euphorbia tirucalli","iPlant_TNRS","1","Euphorbia tirucalli","L.","http://www.tropicos.org/Name/12800056",NA,NA,NA
"Fimbristylis littoralis Gaudich.","Fimbristylis littoralis","Fimbristylis littoralis","iPlant_TNRS","1","Fimbristylis littoralis","Gaudich.","http://www.tropicos.org/Name/9904556",NA,NA,NA
"Foeniculum vulgare Mill.","Foeniculum vulgare","Foeniculum vulgare","iPlant_TNRS","1","Foeniculum vulgare","Mill.","http://www.tropicos.org/Name/1700130",NA,NA,NA
"Gloriosa superba L.","Gloriosa superba","Gloriosa superba","iPlant_TNRS","1","Gloriosa superba","L.","http://www.tropicos.org/Name/18400626",NA,NA,NA
"Gloriosa superba L.","Gloriosa superba","Gloriosa superba","iPlant_TNRS","1","Gloriosa superba","L.","http://www.tropicos.org/Name/18400626",NA,NA,NA
"Glycine max (L.) Merr.","Glycine max","Glycine max","iPlant_TNRS","1","Glycine max","(L.) Merr.","http://www.tropicos.org/Name/13043775",NA,NA,NA
"Gossypium hirsutum L.","Gossypium hirsutum","Gossypium hirsutum","iPlant_TNRS","1","Gossypium hirsutum","L.","http://www.tropicos.org/Name/19600941","Tracheophyta","Malvales","IO"
"Guettarda speciosa L.","Guettarda speciosa","Guettarda speciosa","iPlant_TNRS","1","Guettarda speciosa","L.","http://www.tropicos.org/Name/27904877","Tracheophyta","Gentianales","IO"
"Heliotropium curassavicum L.","Heliotropium curassavicum","Heliotropium curassavicum","iPlant_TNRS","1","Heliotropium curassavicum","L.","http://www.tropicos.org/Name/4000125",NA,NA,NA
"Heliotropium supinum L.","Heliotropium supinum","Heliotropium supinum","iPlant_TNRS","1","Heliotropium supinum","L.","http://www.tropicos.org/Name/4000130",NA,NA,NA
