"scientificName","order","matchedname","authority","country_at_risk"
"Cynodon nlemfuensis Vanderyst","Poales","Cynodon nlemfuensis","Vanderyst","BM"
"Cynoglossum officinale L.","Boraginales","Cynoglossum officinale","L.","BM"
"Cyperus amabilis Vahl","Poales","Cyperus amabilis","Vahl","BM"
"Cyperus articulatus L.","Poales","Cyperus articulatus","L.","BM"
"Cyperus compressus L.","Poales","Cyperus compressus","L.","BM"
"Cyperus difformis L.","Poales","Cyperus difformis","L.","BM"
"Cyperus digitatus Roxb.","Poales","Cyperus digitatus","Roxb.","BM"
"Cyperus haspan L.","Poales","Cyperus haspan","L.","BM"
"Cyperus imbricatus Retz.","Poales","Cyperus imbricatus","Retz.","BM"
"Cyperus iria L.","Poales","Cyperus iria","L.","BM"
"Cyperus sphacelatus Rottb.","Poales","Cyperus sphacelatus","Rottb.","BM"
"Cyperus virens Michx.","Poales","Cyperus virens","Michx.","BM"
"Cytisus striatus (Hill) Rothm.","Fabales","Cytisus striatus","(Hill) Rothm.","BM"
"Dactyloctenium aegyptium (L.) Willd.","Poales","Dactyloctenium aegyptium","(L.) Willd.","BM"
"Daucus carota L.","Apiales","Daucus carota","L.","BM"
"Dichanthium annulatum (Forssk.) Stapf","Poales","Dichanthium annulatum","(Forssk.) Stapf","BM"
"Digitalis purpurea L.","Lamiales","Digitalis purpurea","L.","BM"
"Digitaria didactyla Willd.","Poales","Digitaria didactyla","Willd.","BM"
"Digitaria eriantha Steud.","Poales","Digitaria eriantha","Steud.","BM"
"Digitaria setigera Roth","Poales","Digitaria setigera","Roth","BM"
"Dioscorea alata L.","Dioscoreales","Dioscorea alata","L.","BM"
"Dioscorea bulbifera L.","Dioscoreales","Dioscorea bulbifera","L.","BM"
"Dittrichia viscosa (L.) Greuter","Asterales","Dittrichia viscosa","(L.) Greuter","BM"
"Echium plantagineum L.","Boraginales","Echium plantagineum","L.","BM"
"Eleocharis acicularis (L.) Roem. & Schult.","Poales","Eleocharis acicularis","(L.) Roem. & Schult.","BM"
"Eleocharis mutata (L.) Roem. & Schult.","Poales","Eleocharis mutata","(L.) Roem. & Schult.","BM"
"Eleocharis retroflexa (Poir.) Urb.","Poales","Eleocharis retroflexa","(Poir.) Urb.","BM"
"Elephantopus mollis Kunth","Asterales","Elephantopus mollis","Kunth","BM"
"Emilia fosbergii Nicolson","Asterales","Emilia fosbergii","Nicolson","BM"
"Enterolobium contortisiliquum (Vell.) Morong","Fabales","Enterolobium contortisiliquum","(Vell.) Morong","BM"
"Epiphyllum phyllanthus (L.) Haw.","Caryophyllales","Epiphyllum phyllanthus","(L.) Haw.","BM"
"Eragrostis amabilis (L.) Wight & Arn.","Poales","Eragrostis amabilis","(L.) Wight & Arn.","BM"
"Eragrostis mexicana (Hornem.) Link","Poales","Eragrostis mexicana","(Hornem.) Link","BM"
"Erigeron karvinskianus DC.","Asterales","Erigeron karvinskianus","DC.","BM"
"Erigeron strigosus Muhl. ex Willd.","Asterales","Erigeron strigosus","Muhl. ex Willd.","BM"
"Eriobotrya japonica (Thunb.) Lindl.","Rosales","Eriobotrya japonica","(Thunb.) Lindl.","BM"
"Eucalyptus camaldulensis Dehnh.","Myrtales","Eucalyptus camaldulensis","Dehnh.","BM"
"Euphorbia cotinifolia L.","Malpighiales","Euphorbia cotinifolia","L.","BM"
"Euphorbia hirta L.","Malpighiales","Euphorbia hirta","L.","BM"
"Euphorbia oerstediana (Klotzsch & Garcke) Boiss.","Malpighiales","Euphorbia oerstediana","(Klotzsch & Garcke) Boiss.","BM"
"Euphorbia thymifolia L.","Malpighiales","Euphorbia thymifolia","L.","BM"
"Euphorbia tirucalli L.","Malpighiales","Euphorbia tirucalli","L.","BM"
"Ficus benjamina L.","Rosales","Ficus benjamina","L.","BM"
"Ficus elastica Roxb. ex Hornem.","Rosales","Ficus elastica","Roxb. ex Hornem.","BM"
"Ficus religiosa L.","Rosales","Ficus religiosa","L.","BM"
"Fimbristylis dichotoma (L.) Vahl","Poales","Fimbristylis dichotoma","(L.) Vahl","BM"
"Fimbristylis littoralis Gaudich.","Poales","Fimbristylis littoralis","Gaudich.","BM"
"Flemingia macrophylla (Willd.) Kuntze ex Merr.","Fabales","Flemingia macrophylla","(Willd.) Kuntze ex Merr.","BM"
"Fraxinus americana L.","Lamiales","Fraxinus americana","L.","BM"
"Fraxinus ornus L.","Lamiales","Fraxinus ornus","L.","BM"
"Fuirena umbellata Rottb.","Poales","Fuirena umbellata","Rottb.","BM"
"Fumaria agraria Lag.","Ranunculales","Fumaria agraria","Lag.","BM"
"Gamochaeta pensylvanica (Willd.) Cabrera","Asterales","Gamochaeta pensylvanica","(Willd.) Cabrera","BM"
"Gamochaeta purpurea (L.) Cabrera","Asterales","Gamochaeta purpurea","(L.) Cabrera","BM"
"Geranium molle L.","Geraniales","Geranium molle","L.","BM"
"Glaucium flavum Crantz","Ranunculales","Glaucium flavum","Crantz","BM"
"Gmelina arborea Roxb. ex Sm.","Lamiales","Gmelina arborea","Roxb. ex Sm.","BM"
"Guazuma ulmifolia Lam.","Malvales","Guazuma ulmifolia","Lam.","BM"
"Heliotropium indicum L.","Boraginales","Heliotropium indicum","L.","BM"
"Heracleum sphondylium L.","Apiales","Heracleum sphondylium","L.","BM"
"Heteranthera reniformis Ruiz & Pav.","Commelinales","Heteranthera reniformis","Ruiz & Pav.","BM"
"Hibiscus rosa-sinensis L.","Malvales","Hibiscus rosa-sinensis","L.","BM"
"Hibiscus sabdariffa L.","Malvales","Hibiscus sabdariffa","L.","BM"
"Holcus lanatus L.","Poales","Holcus lanatus","L.","BM"
"Hura crepitans L.","Malpighiales","Hura crepitans","L.","BM"
"Hydrocotyle bonariensis Lam.","Apiales","Hydrocotyle bonariensis","Lam.","BM"
"Hydrocotyle umbellata L.","Apiales","Hydrocotyle umbellata","L.","BM"
"Hydrolea spinosa L.","Solanales","Hydrolea spinosa","L.","BM"
"Hymenachne amplexicaulis (Rudge) Nees","Poales","Hymenachne amplexicaulis","(Rudge) Nees","BM"
"Hyparrhenia hirta (L.) Stapf","Poales","Hyparrhenia hirta","(L.) Stapf","BM"
"Hyparrhenia rufa (Nees) Stapf","Poales","Hyparrhenia rufa","(Nees) Stapf","BM"
"Hypochaeris radicata L.","Asterales","Hypochaeris radicata","L.","BM"
"Hypoestes phyllostachya Baker","Lamiales","Hypoestes phyllostachya","Baker","BM"
"Hyptis brevipes Poit.","Lamiales","Hyptis brevipes","Poit.","BM"
"Hyptis capitata Jacq.","Lamiales","Hyptis capitata","Jacq.","BM"
"Ilex aquifolium L.","Aquifoliales","Ilex aquifolium","L.","BM"
"Illecebrum verticillatum L.","Caryophyllales","Illecebrum verticillatum","L.","BM"
"Impatiens balsamina L.","Ericales","Impatiens balsamina","L.","BM"
"Indigofera jamaicensis Spreng.","Fabales","Indigofera jamaicensis","Spreng.","BM"
"Indigofera tinctoria L.","Fabales","Indigofera tinctoria","L.","BM"
"Ipomoea aquatica Forssk.","Solanales","Ipomoea aquatica","Forssk.","BM"
"Ipomoea batatas (L.) Lam.","Solanales","Ipomoea batatas","(L.) Lam.","BM"
"Ipomoea carnea Jacq.","Solanales","Ipomoea carnea","Jacq.","BM"
"Ipomoea hederifolia L.","Solanales","Ipomoea hederifolia","L.","BM"
"Ipomoea nil (L.) Roth","Solanales","Ipomoea nil","(L.) Roth","BM"
"Ipomoea quamoclit L.","Solanales","Ipomoea quamoclit","L.","BM"
"Ipomoea triloba L.","Solanales","Ipomoea triloba","L.","BM"
"Ipomoea violacea L.","Solanales","Ipomoea violacea","L.","BM"
"Ischaemum rugosum Salisb.","Poales","Ischaemum rugosum","Salisb.","BM"
"Ischaemum timorense Kunth","Poales","Ischaemum timorense","Kunth","BM"
"Jacquemontia tamnifolia (L.) Griseb.","Solanales","Jacquemontia tamnifolia","(L.) Griseb.","BM"
"Jasione montana L.","Asterales","Jasione montana","L.","BM"
"Jasminum dichotomum Vahl","Lamiales","Jasminum dichotomum","Vahl","BM"
"Jasminum fluminense Vell.","Lamiales","Jasminum fluminense","Vell.","BM"
"Jatropha curcas L.","Malpighiales","Jatropha curcas","L.","BM"
"Jatropha gossypiifolia L.","Malpighiales","Jatropha gossypiifolia","L.","BM"
"Jatropha podagrica Hook.","Malpighiales","Jatropha podagrica","Hook.","BM"
"Juglans cinerea L.","Fagales","Juglans cinerea","L.","BM"
"Juncus microcephalus Kunth","Magnoliales","Juncus microcephalus","Kunth","BM"
"Juniperus communis L.","Pinales","Juniperus communis","L.","BM"
"Justicia betonica L.","Lamiales","Justicia betonica","L.","BM"
"Kallstroemia maxima (L.) Hook. & Arn.","Zygophyllales","Kallstroemia maxima","(L.) Hook. & Arn.","BM"
"Lactuca sativa L.","Asterales","Lactuca sativa","L.","BM"
"Lamium maculatum L.","Lamiales","Lamium maculatum","L.","BM"
"Larix decidua Mill.","Pinales","Larix decidua","Mill.","BM"
"Leersia hexandra Sw.","Poales","Leersia hexandra","Sw.","BM"
"Ligustrum sinense Lour.","Lamiales","Ligustrum sinense","Lour.","BM"
"Liriodendron tulipifera L.","Magnoliales","Liriodendron tulipifera","L.","BM"
"Lobelia cardinalis L.","Asterales","Lobelia cardinalis","L.","BM"
"Lobelia laxiflora Kunth","Asterales","Lobelia laxiflora","Kunth","BM"
"Lolium temulentum L.","Poales","Lolium temulentum","L.","BM"
"Lotononis bainesii Baker","Fabales","Lotononis bainesii","Baker","BM"
"Lotus pedunculatus Cav.","Fabales","Lotus pedunculatus","Cav.","BM"
"Malachra fasciata Jacq.","Malvales","Malachra fasciata","Jacq.","BM"
"Malva neglecta Wallr.","Malvales","Malva neglecta","Wallr.","BM"
"Mangifera indica L.","Sapindales","Mangifera indica","L.","BM"
"Manihot grahamii Hook.","Malpighiales","Manihot grahamii","Hook.","BM"
"Marsilea quadrifolia L.","Salviniales","Marsilea quadrifolia","L.","BM"
"Melinis repens (Willd.) Zizka","Poales","Melinis repens","(Willd.) Zizka","BM"
"Melochia corchorifolia L.","Malvales","Melochia corchorifolia","L.","BM"
"Melochia pyramidata L.","Malvales","Melochia pyramidata","L.","BM"
"Miconia calvescens DC.","Myrtales","Miconia calvescens","DC.","BM"
"Mikania micrantha Kunth","Asterales","Mikania micrantha","Kunth","BM"
"Mimosa invisa Mart. ex Colla","Fabales","Mimosa invisa","Mart. ex Colla","BM"
"Mimosa pigra L.","Fabales","Mimosa pigra","L.","BM"
"Mimosa pudica L.","Fabales","Mimosa pudica","L.","BM"
"Mollugo verticillata L.","Caryophyllales","Mollugo verticillata","L.","BM"
"Momordica charantia L.","Cucurbitales","Momordica charantia","L.","BM"
"Montanoa hibiscifolia Benth.","Asterales","Montanoa hibiscifolia","Benth.","BM"
"Montia fontana L.","Caryophyllales","Montia fontana","L.","BM"
"Mucuna pruriens (L.) DC.","Fabales","Mucuna pruriens","(L.) DC.","BM"
"Muntingia calabura L.","Malvales","Muntingia calabura","L.","BM"
"Murdannia nudiflora (L.) Brenan","Commelinales","Murdannia nudiflora","(L.) Brenan","BM"
"Musa acuminata Colla","Zingiberales","Musa acuminata","Colla","BM"
"Nymphaea amazonum Mart. & Zucc.","Nymphaeales","Nymphaea amazonum","Mart. & Zucc.","BM"
"Nymphaea odorata Aiton","Nymphaeales","Nymphaea odorata","Aiton","BM"
"Nymphoides indica (L.) Kuntze","Asterales","Nymphoides indica","(L.) Kuntze","BM"
"Ocimum americanum L.","Lamiales","Ocimum americanum","L.","BM"
"Ocimum basilicum L.","Lamiales","Ocimum basilicum","L.","BM"
"Ocimum gratissimum L.","Lamiales","Ocimum gratissimum","L.","BM"
"Oeceoclades maculata (Lindl.) Lindl.","Asparagales","Oeceoclades maculata","(Lindl.) Lindl.","BM"
"Oldenlandia corymbosa L.","Gentianales","Oldenlandia corymbosa","L.","BM"
"Opuntia aurantiaca Lindl.","Caryophyllales","Opuntia aurantiaca","Lindl.","BM"
"Opuntia elatior Mill.","Caryophyllales","Opuntia elatior","Mill.","BM"
"Opuntia leucotricha DC.","Caryophyllales","Opuntia leucotricha","DC.","BM"
"Opuntia microdasys (Lehm.) Pfeiff.","Caryophyllales","Opuntia microdasys","(Lehm.) Pfeiff.","BM"
"Opuntia phaeacantha Engelm.","Caryophyllales","Opuntia phaeacantha","Engelm.","BM"
"Opuntia polyacantha Haw.","Caryophyllales","Opuntia polyacantha","Haw.","BM"
"Opuntia spinulifera Salm-Dyck","Caryophyllales","Opuntia spinulifera","Salm-Dyck","BM"
"Orontium aquaticum L.","Alismatales","Orontium aquaticum","L.","BM"
"Oryza sativa L.","Poales","Oryza sativa","L.","BM"
"Oxalis barrelieri L.","Oxalidales","Oxalis barrelieri","L.","BM"
"Oxalis tetraphylla Cav.","Oxalidales","Oxalis tetraphylla","Cav.","BM"
"Pachira aquatica Aubl.","Malvales","Pachira aquatica","Aubl.","BM"
"Pachyrhizus erosus (L.) Urb.","Fabales","Pachyrhizus erosus","(L.) Urb.","BM"
"Panicum antidotale Retz.","Poales","Panicum antidotale","Retz.","BM"
"Panicum trichoides Sw.","Poales","Panicum trichoides","Sw.","BM"
"Parmentiera cereifera Seem.","Lamiales","Parmentiera cereifera","Seem.","BM"
"Paspalum paniculatum L.","Poales","Paspalum paniculatum","L.","BM"
"Paspalum plicatulum Michx.","Poales","Paspalum plicatulum","Michx.","BM"
"Paspalum virgatum L.","Poales","Paspalum virgatum","L.","BM"
"Passiflora biflora Lam.","Malpighiales","Passiflora biflora","Lam.","BM"
"Passiflora foetida L.","Malpighiales","Passiflora foetida","L.","BM"
"Passiflora quadrangularis L.","Malpighiales","Passiflora quadrangularis","L.","BM"
"Passiflora subpeltata Ortega","Malpighiales","Passiflora subpeltata","Ortega","BM"
"Pereskia aculeata Mill.","Caryophyllales","Pereskia aculeata","Mill.","BM"
"Persea americana Mill.","Laurales","Persea americana","Mill.","BM"
"Persicaria orientalis (L.) Spach","Caryophyllales","Persicaria orientalis","(L.) Spach","BM"
"Phalaris minor Retz.","Poales","Phalaris minor","Retz.","BM"
"Phyllanthus urinaria L.","Malpighiales","Phyllanthus urinaria","L.","BM"
"Phytolacca americana L.","Caryophyllales","Phytolacca americana","L.","BM"
"Pinus brutia Ten.","Pinales","Pinus brutia","Ten.","BM"
"Pinus caribaea Morelet","Pinales","Pinus caribaea","Morelet","BM"
"Pinus sylvestris L.","Pinales","Pinus sylvestris","L.","BM"
"Piper aduncum L.","Piperales","Piper aduncum","L.","BM"
"Piper tuberculatum Jacq.","Piperales","Piper tuberculatum","Jacq.","BM"
"Pistia stratiotes L.","Alismatales","Pistia stratiotes","L.","BM"
"Pityrogramma calomelanos (L.) Link","Polypodiales","Pityrogramma calomelanos","(L.) Link","BM"
"Plantago australis Lam.","Lamiales","Plantago australis","Lam.","BM"
"Plumbago auriculata Lam.","Caryophyllales","Plumbago auriculata","Lam.","BM"
"Poa compressa L.","Poales","Poa compressa","L.","BM"
"Polygala paniculata L.","Fabales","Polygala paniculata","L.","BM"
"Polygala vulgaris L.","Fabales","Polygala vulgaris","L.","BM"
"Polygonum aviculare L.","Caryophyllales","Polygonum aviculare","L.","BM"
"Pontederia cordata L.","Commelinales","Pontederia cordata","L.","BM"
"Populus alba L.","Malpighiales","Populus alba","L.","BM"
"Populus balsamifera L.","Malpighiales","Populus balsamifera","L.","BM"
"Populus nigra L.","Malpighiales","Populus nigra","L.","BM"
"Populus tremula L.","Malpighiales","Populus tremula","L.","BM"
"Porophyllum ruderale (Jacq.) Cass.","Asterales","Porophyllum ruderale","(Jacq.) Cass.","BM"
"Portulaca grandiflora Hook.","Caryophyllales","Portulaca grandiflora","Hook.","BM"
"Portulaca pilosa L.","Caryophyllales","Portulaca pilosa","L.","BM"
"Potamogeton nodosus Poir.","Alismatales","Potamogeton nodosus","Poir.","BM"
"Potentilla norvegica L.","Rosales","Potentilla norvegica","L.","BM"
"Pouteria campechiana (Kunth) Baehni","Ericales","Pouteria campechiana","(Kunth) Baehni","BM"
"Prunus cerasifera Ehrh.","Rosales","Prunus cerasifera","Ehrh.","BM"
"Prunus domestica L.","Rosales","Prunus domestica","L.","BM"
"Prunus laurocerasus L.","Rosales","Prunus laurocerasus","L.","BM"
"Prunus mahaleb L.","Rosales","Prunus mahaleb","L.","BM"
"Prunus serotina Ehrh.","Rosales","Prunus serotina","Ehrh.","BM"
"Prunus spinosa L.","Rosales","Prunus spinosa","L.","BM"
"Pseudotsuga menziesii (Mirb.) Franco","Pinales","Pseudotsuga menziesii","(Mirb.) Franco","BM"
"Psidium guineense Sw.","Myrtales","Psidium guineense","Sw.","BM"
"Pteridium aquilinum (L.) Kuhn","Polypodiales","Pteridium aquilinum","(L.) Kuhn","BM"
"Pueraria montana (Lour.) Merr.","Fabales","Pueraria montana","(Lour.) Merr.","BM"
"Punica granatum L.","Myrtales","Punica granatum","L.","BM"
"Pyrus communis L.","Rosales","Pyrus communis","L.","BM"
"Quercus alba L.","Fagales","Quercus alba","L.","BM"
"Quercus ilex L.","Fagales","Quercus ilex","L.","BM"
"Quercus palustris Münchh.","Fagales","Quercus palustris","Münchh.","BM"
"Quercus phellos L.","Fagales","Quercus phellos","L.","BM"
"Quercus suber L.","Fagales","Quercus suber","L.","BM"
"Rauvolfia tetraphylla L.","Gentianales","Rauvolfia tetraphylla","L.","BM"
"Reseda luteola L.","Brassicales","Reseda luteola","L.","BM"
"Rhamnus cathartica L.","Rosales","Rhamnus cathartica","L.","BM"
"Rhynchospora corymbosa (L.) Britton","Poales","Rhynchospora corymbosa","(L.) Britton","BM"
"Richardia scabra L.","Gentianales","Richardia scabra","L.","BM"
"Rivina humilis L.","Caryophyllales","Rivina humilis","L.","BM"
"Robinia pseudoacacia L.","Fabales","Robinia pseudoacacia","L.","BM"
"Rorippa palustris (L.) Besser","Brassicales","Rorippa palustris","(L.) Besser","BM"
"Rottboellia cochinchinensis (Lour.) Clayton","Poales","Rottboellia cochinchinensis","(Lour.) Clayton","BM"
"Rubus niveus Thunb.","Rosales","Rubus niveus","Thunb.","BM"
"Rubus rosifolius Sm.","Rosales","Rubus rosifolius","Sm.","BM"
"Ruellia malacosperma Greenm.","Lamiales","Ruellia malacosperma","Greenm.","BM"
"Ruellia tuberosa L.","Lamiales","Ruellia tuberosa","L.","BM"
"Rumex acetosella L.","Caryophyllales","Rumex acetosella","L.","BM"
"Rumex obtusifolius L.","Caryophyllales","Rumex obtusifolius","L.","BM"
"Saccharum officinarum L.","Poales","Saccharum officinarum","L.","BM"
"Saccharum spontaneum L.","Poales","Saccharum spontaneum","L.","BM"
"Sacciolepis indica (L.) Chase","Poales","Sacciolepis indica","(L.) Chase","BM"
"Sagittaria guayanensis Kunth","Alismatales","Sagittaria guayanensis","Kunth","BM"
"Salix alba L.","Malpighiales","Salix alba","L.","BM"
"Salix caprea L.","Malpighiales","Salix caprea","L.","BM"
"Salvia leucantha Cav.","Lamiales","Salvia leucantha","Cav.","BM"
"Salvia misella Kunth","Lamiales","Salvia misella","Kunth","BM"
"Sambucus nigra L.","Dipsacales","Sambucus nigra","L.","BM"
"Sansevieria hyacinthoides (L.) Druce","Asparagales","Sansevieria hyacinthoides","(L.) Druce","BM"
"Sassafras albidum (Nutt.) Nees","Laurales","Sassafras albidum","(Nutt.) Nees","BM"
"Schinus molle L.","Sapindales","Schinus molle","L.","BM"
"Schinus terebinthifolia Raddi","Sapindales","Schinus terebinthifolia","Raddi","BM"
"Scoparia dulcis L.","Lamiales","Scoparia dulcis","L.","BM"
"Selaginella plana (Desv. ex Poir.) Hieron.","Selaginellales","Selaginella plana","(Desv. ex Poir.) Hieron.","BM"
"Selaginella umbrosa Lem. ex Hieron.","Selaginellales","Selaginella umbrosa","Lem. ex Hieron.","BM"
"Senna alata (L.) Roxb.","Fabales","Senna alata","(L.) Roxb.","BM"
"Senna tora (L.) Roxb.","Fabales","Senna tora","(L.) Roxb.","BM"
"Sesamum indicum L.","Lamiales","Sesamum indicum","L.","BM"
"Sesbania grandiflora (L.) Pers.","Fabales","Sesbania grandiflora","(L.) Pers.","BM"
"Setaria barbata (Lam.) Kunth","Poales","Setaria barbata","(Lam.) Kunth","BM"
"Sida spinosa L.","Malvales","Sida spinosa","L.","BM"
"Sisyrinchium micranthum Cav.","Asparagales","Sisyrinchium micranthum","Cav.","BM"
"Smilax laurifolia L.","Liliales","Smilax laurifolia","L.","BM"
"Solanum diphyllum L.","Solanales","Solanum diphyllum","L.","BM"
"Solanum douglasii Dunal","Solanales","Solanum douglasii","Dunal","BM"
"Solanum jamaicense Mill.","Solanales","Solanum jamaicense","Mill.","BM"
"Solanum lanceolatum Cav.","Solanales","Solanum lanceolatum","Cav.","BM"
"Solanum linnaeanum Hepper & P.-M.L.Jaeger","Solanales","Solanum linnaeanum","Hepper & P.-M.L.Jaeger","BM"
"Solanum physalifolium Rusby","Solanales","Solanum physalifolium","Rusby","BM"
"Solanum pseudocapsicum L.","Solanales","Solanum pseudocapsicum","L.","BM"
"Solanum tampicense Dunal","Solanales","Solanum tampicense","Dunal","BM"
"Solanum viarum Dunal","Solanales","Solanum viarum","Dunal","BM"
"Sorbus aucuparia L.","Rosales","Sorbus aucuparia","L.","BM"
"Sorghum arundinaceum (Desv.) Stapf","Poales","Sorghum arundinaceum","(Desv.) Stapf","BM"
"Spergula arvensis L.","Caryophyllales","Spergula arvensis","L.","BM"
"Sphagneticola trilobata (L.) Pruski","Asterales","Sphagneticola trilobata","(L.) Pruski","BM"
"Sphenoclea zeylanica Gaertn.","Solanales","Sphenoclea zeylanica","Gaertn.","BM"
"Spigelia anthelmia L.","Gentianales","Spigelia anthelmia","L.","BM"
"Spirodela polyrhiza (L.) Schleid.","Alismatales","Spirodela polyrhiza","(L.) Schleid.","BM"
"Stachytarpheta cayennensis (Rich.) Vahl","Lamiales","Stachytarpheta cayennensis","(Rich.) Vahl","BM"
"Stylosanthes guianensis (Aubl.) Sw.","Fabales","Stylosanthes guianensis","(Aubl.) Sw.","BM"
"Stylosanthes humilis Kunth","Fabales","Stylosanthes humilis","Kunth","BM"
"Syngonium podophyllum Schott","Alismatales","Syngonium podophyllum","Schott","BM"
"Syringa vulgaris L.","Lamiales","Syringa vulgaris","L.","BM"
"Tamarindus indica L.","Fabales","Tamarindus indica","L.","BM"
"Taxus brevifolia Nutt.","Pinales","Taxus brevifolia","Nutt.","BM"
"Tectaria incisa Cav.","Polypodiales","Tectaria incisa","Cav.","BM"
"Thunbergia alata Bojer ex Sims","Lamiales","Thunbergia alata","Bojer ex Sims","BM"
"Thunbergia fragrans Roxb.","Lamiales","Thunbergia fragrans","Roxb.","BM"
"Thunbergia grandiflora Roxb.","Lamiales","Thunbergia grandiflora","Roxb.","BM"
"Thunbergia laurifolia Lindl.","Lamiales","Thunbergia laurifolia","Lindl.","BM"
"Tolpis barbata (L.) Gaertn.","Asterales","Tolpis barbata","(L.) Gaertn.","BM"
"Trema micrantha (L.) Blume","Rosales","Trema micrantha","(L.) Blume","BM"
"Trianthema portulacastrum L.","Caryophyllales","Trianthema portulacastrum","L.","BM"
"Tridax procumbens L.","Asterales","Tridax procumbens","L.","BM"
"Trifolium dubium Sibth.","Fabales","Trifolium dubium","Sibth.","BM"
"Trifolium repens L.","Fabales","Trifolium repens","L.","BM"
"Triticum aestivum L.","Poales","Triticum aestivum","L.","BM"
"Tropaeolum majus L.","Brassicales","Tropaeolum majus","L.","BM"
"Tuberaria guttata (L.) Fourr.","Malvales","Tuberaria guttata","(L.) Fourr.","BM"
"Typha angustifolia L.","Poales","Typha angustifolia","L.","BM"
"Ulex europaeus L.","Fabales","Ulex europaeus","L.","BM"
"Ulmus americana L.","Rosales","Ulmus americana","L.","BM"
"Ulmus pumila L.","Rosales","Ulmus pumila","L.","BM"
"Urena lobata L.","Malvales","Urena lobata","L.","BM"
"Utricularia foliosa L.","Lamiales","Utricularia foliosa","L.","BM"
"Utricularia gibba L.","Lamiales","Utricularia gibba","L.","BM"
"Verbena litoralis Kunth","Lamiales","Verbena litoralis","Kunth","BM"
"Veronica persica Poir.","Lamiales","Veronica persica","Poir.","BM"
"Viburnum lantana L.","Dipsacales","Viburnum lantana","L.","BM"
"Viburnum opulus L.","Dipsacales","Viburnum opulus","L.","BM"
"Wigandia urens (Ruiz & Pav.) Kunth","Boraginales","Wigandia urens","(Ruiz & Pav.) Kunth","BM"
"Xanthium orientale L.","Asterales","Xanthium orientale","L.","BM"
"Zea mays L.","Poales","Zea mays","L.","BM"
"Zingiber officinale Roscoe","Zingiberales","Zingiber officinale","Roscoe","BM"
"Zinnia peruviana (L.) L.","Asterales","Zinnia peruviana","(L.) L.","BM"
"Ziziphus mauritiana Lam.","Rosales","Ziziphus mauritiana","Lam.","BM"
"Acacia mangium Willd.","Fabales","Acacia mangium","Willd.","BM"
"Acanthospermum hispidum DC.","Asterales","Acanthospermum hispidum","DC.","BM"
"Achillea millefolium L.","Asterales","Achillea millefolium","L.","BM"
"Aeschynomene indica L.","Fabales","Aeschynomene indica","L.","BM"
"Agrostis scabra Willd.","Poales","Agrostis scabra","Willd.","BM"
"Alternanthera pungens Kunth","Caryophyllales","Alternanthera pungens","Kunth","BM"
"Amaranthus cruentus L.","Caryophyllales","Amaranthus cruentus","L.","BM"
"Amaranthus retroflexus L.","Caryophyllales","Amaranthus retroflexus","L.","BM"
"Amaranthus tricolor L.","Caryophyllales","Amaranthus tricolor","L.","BM"
"Ambrosia confertiflora DC.","Asterales","Ambrosia confertiflora","DC.","BM"
"Ambrosia tenuifolia Spreng.","Asterales","Ambrosia tenuifolia","Spreng.","BM"
"Ammannia baccifera L.","Myrtales","Ammannia baccifera","L.","BM"
"Ardisia crenata Sims","Ericales","Ardisia crenata","Sims","BM"
"Asparagus officinalis L.","Asparagales","Asparagus officinalis","L.","BM"
"Azolla filiculoides Lam.","Salviniales","Azolla filiculoides","Lam.","BM"
"Barleria prionitis L.","Lamiales","Barleria prionitis","L.","BM"
"Barringtonia asiatica (L.) Kurz","Ericales","Barringtonia asiatica","(L.) Kurz","BM"
"Bidens bipinnata L.","Asterales","Bidens bipinnata","L.","BM"
"Bidens subalternans DC.","Asterales","Bidens subalternans","DC.","BM"
"Brachiaria eruciformis (Sm.) Griseb.","Poales","Brachiaria eruciformis","(Sm.) Griseb.","BM"
"Caesalpinia decapetala (Roth) Alston","Fabales","Caesalpinia decapetala","(Roth) Alston","BM"
"Calyptocarpus vialis Less.","Asterales","Calyptocarpus vialis","Less.","BM"
"Cardamine pensylvanica Muhl. ex Willd.","Brassicales","Cardamine pensylvanica","Muhl. ex Willd.","BM"
"Cardiospermum halicacabum L.","Sapindales","Cardiospermum halicacabum","L.","BM"
"Casuarina cristata Miq.","Cucurbitales","Casuarina cristata","Miq.","BM"
"Casuarina cunninghamiana Miq.","Cucurbitales","Casuarina cunninghamiana","Miq.","BM"
"Celosia cristata L.","Caryophyllales","Celosia cristata","L.","BM"
"Cestrum diurnum L.","Solanales","Cestrum diurnum","L.","BM"
"Cestrum laevigatum Schltdl.","Solanales","Cestrum laevigatum","Schltdl.","BM"
"Chloris gayana Kunth","Poales","Chloris gayana","Kunth","BM"
"Chloris virgata Sw.","Poales","Chloris virgata","Sw.","BM"
"Cicer arietinum L.","Fabales","Cicer arietinum","L.","BM"
"Cirsium horridulum Michx.","Asterales","Cirsium horridulum","Michx.","BM"
"Clitoria laurifolia Poir.","Fabales","Clitoria laurifolia","Poir.","BM"
"Conium maculatum L.","Apiales","Conium maculatum","L.","BM"
"Corchorus aestuans L.","Malvales","Corchorus aestuans","L.","BM"
"Corchorus olitorius L.","Malvales","Corchorus olitorius","L.","BM"
"Coriandrum sativum L.","Apiales","Coriandrum sativum","L.","BM"
"Crotalaria juncea L.","Fabales","Crotalaria juncea","L.","BM"
