"species","country_at_risk"
"Morinda citrifolia","TC"
"Mucuna pruriens","TC"
"Nephrolepis multiflora","TC"
"Neyraudia reynaudiana","TC"
"Pachira acuatica","TC"
"Pachira insignis","TC"
"Panicum repens","TC"
"Parkinsonia aculeata","TC"
"Passiflora biflora","TC"
"Passiflora foetida","TC"
"Pennisetum purpureum","TC"
"Pinus caribaea","TC"
"Pittosporum undulatum","TC"
"Polygonum chinense","TC"
"Procambarus clarkii","TC"
"Prosopis chilensis","TC"
"Psidium guajava","TC"
"Pteridium aquilinum","TC"
"Rhoeo spathacea","TC"
"Rhynchelytrum repens","TC"
"Ricinus communis","TC"
"Rottboelia exaltata","TC"
"Rottboellia cochinchinensis","TC"
"Sansevieria hyacinthoides","TC"
"Scaevola sericea","TC"
"Scaevola taccada","TC"
"Schefflera actinophylla","TC"
"Schinus terebinthifolius","TC"
"Senna siamea","TC"
"Solanum torvum","TC"
"Solidago sempervirens","TC"
"Sonchus asper","TC"
"Spartina alterniflora","TC"
"Spathodea campanulata","TC"
"Sphagneticola trilobata","TC"
"Sphenoclea zeylanica","TC"
"Stachytarpheta urticifolia","TC"
"Syngonium podophyllum","TC"
"Syzygium jambos","TC"
"Tabebuia heterophylla","TC"
"Tabebuia pentaphylla","TC"
"Tamarindus indica","TC"
"Typha domingensis","TC"
"Urochloa maxima","TC"
"Vernonia cinerea","TC"
"Xanthium strumarium","TC"
"Youngia japonica","TC"
"Abrus precatorius","VG"
"Acacia farnesiana","VG"
"Acacia mangium","VG"
"Acacia nilotica","VG"
"Adenanthera pavonina","VG"
"Albizia lebbeck","VG"
"Albizia procera","VG"
"Aleurites fordii","VG"
"Aleurites moluccana","VG"
"Alternanthera philoxeroides","VG"
"Alysicarpus vaginalis","VG"
"Anredera cordifolia","VG"
"Antigonon leptopus","VG"
"Ardisia solanacea","VG"
"Artocarpus altilis","VG"
"Arundo donax","VG"
"Azadirachta indica","VG"
"Bambusa vulgaris","VG"
"Barringtonia asiatica","VG"
"Bauhinia monandra","VG"
"Bertholettia excelsa","VG"
"Bothriochloa pertusa","VG"
"Boussingaultia leptostachys","VG"
"Brachiaria arracta","VG"
"Buddleja davidii","VG"
"Calliandra calothyrsus","VG"
"Calotropis procera","VG"
"Cardamine flexuosa","VG"
"Cassia javanica","VG"
"Cinnamomum camphora","VG"
"Cleome gynandra","VG"
"Cleome viscosa","VG"
"Clitoria fairchildiana","VG"
"Coffea arabica","VG"
"Echinochloa crus-galli","VG"
"Eleusine indica","VG"
"Emilia coccinea","VG"
"Emilia fosbergii","VG"
"Emilia sonchifolia","VG"
"Eugenia uniflora","VG"
"Ficus retusa","VG"
"Flemingia strobilifera","VG"
"Fragaria vesca","VG"
"Gaillardia pulchella","VG"
"Halophila stipulacea","VG"
"Heteropogon contortus","VG"
"Hydrilla verticillata","VG"
"Hyparrhenia rufa","VG"
"Indigofera jamaicensis","VG"
"Ipomoea aquatica","VG"
"Ischaemum rugosum","VG"
"Lantana camara","VG"
"Ligustrum sinense","VG"
"Lonicera japonica","VG"
"Ludwigia peruviana","VG"
"Lygodium japonicum","VG"
"Maesopsis eminii","VG"
"Malva rotundifolia","VG"
"Mangifera indica","VG"
"Melaleuca quinquenervia","VG"
"Melia azedarach","VG"
"Melinis minutiflora","VG"
"Merremia tuberosa","VG"
"Miconia calvescens","VG"
"Microstegium vimineum","VG"
"Mimosa pigra","VG"
"Morinda citrifolia","VG"
"Muntingia calabura","VG"
"Nephrolepis multiflora","VG"
"Pachira acuatica","VG"
"Pachira insignis","VG"
"Panicum repens","VG"
"Parkinsonia aculeata","VG"
"Paspalum fasciculatum","VG"
"Pennisetum ciliare","VG"
"Pennisetum purpureum","VG"
"Pennisetum setaceum","VG"
"Phalaris arundinacea","VG"
"Phyllanthus urinaria","VG"
"Phymatosorus scolopendria","VG"
"Pinus caribaea","VG"
"Pistia stratiotes","VG"
"Procambarus clarkii","VG"
"Prosopis pallida","VG"
"Psidium guajava","VG"
"Rhynchelytrum repens","VG"
"Ricinus communis","VG"
"Rottboelia exaltata","VG"
"Rottboellia cochinchinensis","VG"
"Schinus terebinthifolius","VG"
"Senna siamea","VG"
"Sida acuta","VG"
"Sida rhombifolia","VG"
"Solanum viarum","VG"
"Solidago sempervirens","VG"
"Sonchus asper","VG"
"Sorghum halepense","VG"
"Spartina alterniflora","VG"
"Spathodea campanulata","VG"
"Sphenoclea zeylanica","VG"
"Stachytarpheta urticifolia","VG"
"Sterculia apetala","VG"
"Tabebuia pentaphylla","VG"
"Tamarindus indica","VG"
"Typha domingensis","VG"
"Urochloa maxima","VG"
"Verbena rigida","VG"
"Vernonia cinerea","VG"
"Xanthium strumarium","VG"
"Youngia japonica","VG"
"Ziziphus mauritiana","VG"
"Acacia auriculiformis","KY"
"Acacia spp","KY"
"Ageratina adenophora","KY"
"Albizia lebbeck","KY"
"Alpinnia allughas","KY"
"Alternanthera philoxeroides","KY"
"Ardisia solanacea","KY"
"Asparagus densiflorus","KY"
"Bambusa vulgaris","KY"
"Bauhinia variegata","KY"
"Brachiara decumbens","KY"
"Bromus tectorum","KY"
"Callinectes sapidus","KY"
"Calotropis procera","KY"
"Cardamine flexuosa","KY"
"Cherax quadricarinatus","KY"
"Cinnamomum camphora","KY"
"Cinnamomum zeylanicum","KY"
"Dichrostachys cinerea","KY"
"Dioscorea alata","KY"
"Eupatorium adenophorum","KY"
"Grateloupia turuturu","KY"
"Grevillea robusta","KY"
"Haematoxylum campechianum","KY"
"Hedychium coccineum","KY"
"Hedychium coronarium","KY"
"Hedychium gardnerianum","KY"
"Jasminum fluminense","KY"
"Jasminum sambac","KY"
"Lantana camara","KY"
"Macroptilium atropurpureum","KY"
"Malaleuca spp","KY"
"Melaleuca quinquenervia","KY"
"Melia azedarach","KY"
"Melinis minutiflora","KY"
"Merremia tuberosa","KY"
"Mimosa pigra","KY"
"Moghania strobilifera","KY"
"Mucuna pruriens","KY"
"Nephrolepis multiflora","KY"
"Neyraudia reynaudiana","KY"
"Panicum repens","KY"
"Passiflora biflora","KY"
"Passiflora foetida","KY"
"Pennisetum purpureum","KY"
"Pittosporum undulatum","KY"
"Polygonum chinense","KY"
"Prosopis chilensis","KY"
"Pteridium aquilinum","KY"
"Sagittaria sagittifolia","KY"
"Sargassum muticum","KY"
"Scaevola taccada","KY"
"Schefflera actinophylla","KY"
"Schinus terebinthifolius","KY"
"Solanum torvum","KY"
"Spartina alterniflora","KY"
"Sphagneticola trilobata","KY"
"Syngonium podophyllum","KY"
"Syzygium jambos","KY"
"Typha domingensis","KY"
