"","Species.Name","Organism.Type","Broad.Habitat","status","country","iso2code"
"723","Tabebuia pallida","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"724","Asparagus densiflorus","Plant - Herb","Terrestrial","exotic","BERMUDA","BM"
"725","Verbena rigida","Plant - Herb","","exotic","BERMUDA","BM"
"726","Urochloa maxima","Plant - Grass","Terrestrial","exotic","BERMUDA","BM"
"727","Bursera simaruba","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"728","Agave sisalana","Plant - Succulent","Terrestrial","exotic","BERMUDA","BM"
"729","Hedera helix","Plant - Climber","","exotic","BERMUDA","BM"
"730","Salvinia minima","Plant - Aquatic","","exotic","BERMUDA","BM"
"731","Bursera simaruba","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"732","Arundo donax","Plant - Grass","Terrestrial","invasive","BERMUDA","BM"
"733","Phymatosorus scolopendria","Plant - Fern","Terrestrial","invasive","BERMUDA","BM"
"734","Eupatorium adenophorum","Plant - Herb","Terrestrial","exotic","BERMUDA","BM"
"735","Podocarpus macrophyllus
""Maki""","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"736","Tradescantia fluminensis","Plant - Herb","Terrestrial","exotic","BERMUDA","BM"
"737","Antigonon leptopus","Plant - Climber","Terrestrial","exotic","BERMUDA","BM"
"738","Rhoeo spathacea","Plant - Herb","Terrestrial","exotic","BERMUDA","BM"
"739","Schinus terebinthifolius","Plant - Tree","Terrestrial","invasive","BERMUDA","BM"
"740","Phoenix reclinata","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"741","Verbena rigida","Plant - Herb","","invasive","BERMUDA","BM"
"742","Samanea saman","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"743","Syzygium jambos","Plant - Tree","Terrestrial","invasive","BERMUDA","BM"
"744","Ligustrum lucidum","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"745","Buddleja madagascariensis","Plant - Shrub","Terrestrial","invasive","BERMUDA","BM"
"746","Pittosporum tenuifolium","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"747","Pittosporum undulatum","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"748","Canna indica","Plant - Herb","","exotic","BERMUDA","BM"
"749","Ficus retusa","Plant - Tree","Terrestrial","invasive","BERMUDA","BM"
"750","Canna indica","Plant - Herb","","exotic","BERMUDA","BM"
"751","Gliricidia sepium","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"752","Ligustrum sinense","Plant - Shrub","","exotic","BERMUDA","BM"
"753","Sphagneticola trilobata;","Plant - Herb","Terrestrial","exotic","BERMUDA","BM"
"754","Panicum dichotomiflorum","Plant - Grass","Terrestrial","exotic","BERMUDA","BM"
"755","Macfadyena unguis-cati","Plant - Climber","Terrestrial","invasive","BERMUDA","BM"
"756","Salvinia molesta","Plant - Aquatic","Freshwater","exotic","BERMUDA","BM"
"757","Poa annua","Plant - Grass","","exotic","BERMUDA","BM"
"758","Pinus caribaea","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"759","Thevetia peruviana","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"760","Wisteria sinensis","Plant - Climber","","exotic","BERMUDA","BM"
"761","Merremia tuberosa","Plant - Climber","","exotic","BERMUDA","BM"
"762","Livistona chinensis","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"763","Ptychosperma elegans","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"764","Hedera helix","Plant - Climber","","exotic","BERMUDA","BM"
"765","Flacourtia indica","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"766","Podocarpus macrophyllus
""Maki""","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"767","Thevetia peruviana","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"768","Schefflera actinophylla","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"769","Pittosporum undulatum","Plant - Tree","Terrestrial","invasive","BERMUDA","BM"
"770","Adenanthera pavonina","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"771","Sphagneticola trilobata;","Plant - Herb","Terrestrial","invasive","BERMUDA","BM"
"772","Opuntia cochenillifera","Plant - Succulent","","exotic","BERMUDA","BM"
"773","Livistona chinensis","Plant - Tree","Terrestrial","invasive","BERMUDA","BM"
"774","Pittosporum undulatum","Plant - Tree","Terrestrial","invasive","BERMUDA","BM"
"775","Agave sisalana","Plant - Succulent","Terrestrial","exotic","BERMUDA","BM"
"776","Melia azedarach","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"777","Ficus retusa","Plant - Tree","Terrestrial","exotic","BERMUDA","BM"
"778","Tradescantia spathacea","Plant - Herb","","exotic","BERMUDA","BM"
"779","Eichhornia crassipes","Plant - Aquatic","Freshwater","invasive","BERMUDA","BM"
"780","Livistona chinensis","Plant - Tree","Terrestrial","invasive","BERMUDA","BM"
"781","Salvinia minima","Plant - Aquatic","","exotic","BERMUDA","BM"
"782","Sphagneticola trilobata;","Plant - Herb","Terrestrial","exotic","BERMUDA","BM"
"783","Eichhornia crassipes","Plant - Aquatic","Freshwater","exotic","BRITISH VIRGIN ISLANDS","VG"
"784","Prosopis juliflora","Plant - Tree","Terrestrial","exotic","BRITISH VIRGIN ISLANDS","VG"
"785","Portulaca oleracea","Plant - Succulent","","exotic","BRITISH VIRGIN ISLANDS","VG"
"786","Eichhornia crassipes","Plant - Aquatic","Freshwater","exotic","BRITISH VIRGIN ISLANDS","VG"
"787","Pithecellobium dulce","Plant - Tree","Terrestrial","exotic","BRITISH VIRGIN ISLANDS","VG"
"788","Syzygium jambos","Plant - Tree","Terrestrial","exotic","BRITISH VIRGIN ISLANDS","VG"
"789","Leucaena leucocephala","Plant - Tree","Terrestrial","exotic","BRITISH VIRGIN ISLANDS","VG"
"790","Tabebuia heterophylla","Plant - Tree","Terrestrial","exotic","BRITISH VIRGIN ISLANDS","VG"
"791","Launaea intybacea","Plant - Shrub","","invasive","BRITISH VIRGIN ISLANDS","VG"
"792","Launaea intybacea","Plant - Shrub","","exotic","BRITISH VIRGIN ISLANDS","VG"
"793","Bromus madritensis","Plant - Grass","","invasive","BRITISH VIRGIN ISLANDS","VG"
"794","Launaea intybacea","Plant - Shrub","","invasive","BRITISH VIRGIN ISLANDS","VG"
"795","Launaea intybacea","Plant - Shrub","","exotic","BRITISH VIRGIN ISLANDS","VG"
"796","Prosopis juliflora","Plant - Tree","Terrestrial","exotic","BRITISH VIRGIN ISLANDS","VG"
"797","Bromus rigidus","Plant - Grass","","exotic","BRITISH VIRGIN ISLANDS","VG"
"798","Senna multijuga","Plant - Tree","Terrestrial","exotic","BRITISH VIRGIN ISLANDS","VG"
"799","Bromus rigidus","Plant - Grass","","invasive","BRITISH VIRGIN ISLANDS","VG"
"800","Pithecellobium dulce","Plant - Tree","Terrestrial","exotic","BRITISH VIRGIN ISLANDS","VG"
"801","Bromus madritensis","Plant - Grass","","exotic","BRITISH VIRGIN ISLANDS","VG"
"802","Bromus madritensis","Plant - Grass","","exotic","BRITISH VIRGIN ISLANDS","VG"
