"matchedname","authority","sourceid","uri","GBIF_id"
"Acalypha neomexicana","Müll. Arg.","iPlant_TNRS","http://www.tropicos.org/Name/12802238","3056550"
"Acalypha ostryifolia","Riddell ex J.M. Coult.","iPlant_TNRS","http://www.tropicos.org/Name/12804812","8159460"
"Acalypha rhomboidea","Raf.","iPlant_TNRS","http://www.tropicos.org/Name/12804612","3056384"
"Acalypha segetalis","Müll. Arg.","iPlant_TNRS","http://www.tropicos.org/Name/12802982","3056915"
"Acalypha virginica","L.","iPlant_TNRS","http://www.tropicos.org/Name/12804809","3056055"
"Acanthocereus","(Engelm. ex A. Berger) Britton & Rose","iPlant_TNRS","http://www.tropicos.org/Name/40003238","3084454"
"Acanthocereus pentagonus","(L.) Hummelinck","iPlant_TNRS","http://www.tropicos.org/Name/5105704","3084455"
"Acanthosicyos naudinianus","(Sond.) C. Jeffrey","iPlant_TNRS","http://www.tropicos.org/Name/9200932","7509875"
"Acanthospermum australe","(Loefl.) Kuntze","iPlant_TNRS","http://www.tropicos.org/Name/2717091","3100364"
"Acanthospermum hispidum","DC.","iPlant_TNRS","http://www.tropicos.org/Name/2701604","3100375"
"Acanthostyles buniifolius","(Hook. ex Arn.) R.M. King & H. Rob.","iPlant_TNRS","http://www.tropicos.org/Name/2712077","3142611"
"Acanthus mollis","L.","iPlant_TNRS","http://www.tropicos.org/Name/102751","5415455"
"Acanthus montanus","(Nees) T. Anderson","iPlant_TNRS","http://www.tropicos.org/Name/102283","5573815"
"Acanthus pubescens","Engl.","iPlant_TNRS","http://www.tropicos.org/Name/100002","5573783"
"Acer","L.","iPlant_TNRS","http://www.tropicos.org/Name/40030257","3189834"
"Acer barbatum","Michx.","iPlant_TNRS","http://www.tropicos.org/Name/200076","3189871"
"Acer circinatum","Pursh","iPlant_TNRS","http://www.tropicos.org/Name/200022","3189884"
"Acer ginnala","Maxim.","iPlant_TNRS","http://www.tropicos.org/Name/200006","3189845"
"Acer macrophyllum","Pursh","iPlant_TNRS","http://www.tropicos.org/Name/200029","3189835"
"Acer negundo","L.","iPlant_TNRS","http://www.tropicos.org/Name/200001","3189866"
"Acer palmatum","Thunb.","iPlant_TNRS","http://www.tropicos.org/Name/200227","7912328"
"Acer pensylvanicum","L.","iPlant_TNRS","http://www.tropicos.org/Name/200034","3189836"
"Acer platanoides","L.","iPlant_TNRS","http://www.tropicos.org/Name/200035","3189846"
"Acer pseudoplatanus","L.","iPlant_TNRS","http://www.tropicos.org/Name/200008","3189870"
"Acer rubrum","L.","iPlant_TNRS","http://www.tropicos.org/Name/200014","3189883"
"Acer saccharinum","L.","iPlant_TNRS","http://www.tropicos.org/Name/200038","3189837"
"Acer saccharum","Marshall","iPlant_TNRS","http://www.tropicos.org/Name/200039","3189859"
"Acer spicatum","Lam.","iPlant_TNRS","http://www.tropicos.org/Name/200002","3189848"
"Achillea lanulosa","L.","iPlant_TNRS","http://www.tropicos.org/Name/2700015","3120060"
"Achillea millefolium","L.","iPlant_TNRS","http://www.tropicos.org/Name/2700015","3120060"
"Achillea ptarmica","L.","iPlant_TNRS","http://www.tropicos.org/Name/2701628","3120333"
"Achillea tomentosa","L.","iPlant_TNRS","http://www.tropicos.org/Name/2701632","7787053"
"Achyranthes aspera","L.","iPlant_TNRS","http://www.tropicos.org/Name/1100001","3085168"
"Achyranthes japonica","Miq.","iPlant_TNRS","http://www.tropicos.org/Name/1101803","6561575"
"Achyranthes sicula","(L.) All.","iPlant_TNRS","http://www.tropicos.org/Name/50074813","7626296"
"Acinos arvensis","(Lam.) Dandy","iPlant_TNRS","http://www.tropicos.org/Name/17600004","2927116"
"Spilanthes paniculata","(Wall. ex DC.) R.K. Jansen","iPlant_TNRS","http://www.tropicos.org/Name/2717110","5386757"
"Spilanthes iabadicensis","(Sw.) Cass.","iPlant_TNRS","http://www.tropicos.org/Name/2717102","5386720"
"Aconitum carmichaeli","Debeaux","iPlant_TNRS","http://www.tropicos.org/Name/27101189","8244887"
"Aconitum ferox","Wall. ex Ser.","iPlant_TNRS","http://www.tropicos.org/Name/27100255","3033681"
"Aconitum napellus","L.","iPlant_TNRS","http://www.tropicos.org/Name/27100830","3033665"
"Acorus calamus","L.","iPlant_TNRS","http://www.tropicos.org/Name/2100006","2873769"
"Acroceras zizanioides","(Kunth) Dandy","iPlant_TNRS","http://www.tropicos.org/Name/25500095","4139637"
"Actaea alba","(L.) Mill.","iPlant_TNRS","http://www.tropicos.org/Name/27101391","5371706"
"Actaea rubra","(Aiton) Willd.","iPlant_TNRS","http://www.tropicos.org/Name/27100018","5371704"
"Actaea spicata","L.","iPlant_TNRS","http://www.tropicos.org/Name/27100019","5371473"
"Damasonium australe","(Salisb.) Spreng.","iPlant_TNRS","http://www.tropicos.org/Name/100141407","2864495"
"Scirpus grossus","(L. f.) Goetgh. & D.A. Simpson","iPlant_TNRS","http://www.tropicos.org/Name/9906183","2710499"
"Adenanthera pavonina","L.","iPlant_TNRS","http://www.tropicos.org/Name/13024741","2951846"
"Adenostoma fasciculatum","Hook. & Arn.","iPlant_TNRS","http://www.tropicos.org/Name/27801458","3030227"
"Adenostoma sparsifolium","Torr.","iPlant_TNRS","http://www.tropicos.org/Name/27801460","3030225"
"Adiantum capillus","L.","iPlant_TNRS","http://www.tropicos.org/Name/26602671","2651816"
