"species","AI","BM","KY","MS","TC","VG","origin"
"Clitoria fairchildiana",0,0,0,0,0,0,"caribdb"
"Clitoria laurifolia",0,0,0,0,0,0,"gbif"
"Clitoria ternatea",1,0,1,1,0,1,"gbif"
"Clusia rosea",0,0,0,0,0,0,"danielle"
"Cobaea scandens",0,0,0,0,0,0,"gbif"
"Coccinia grandis",0,0,0,0,0,0,"danielle"
"Coccoloba acapulcensis",0,0,0,0,0,0,"gbif"
"Coccoloba uvifera",0,0,0,0,0,0,"danielle"
"Cocos nucifera",1,0,0,0,1,1,"gbif"
"Coffea arabica",1,1,0,0,0,0,"gbif"
"Coffea arabica",0,0,0,0,0,0,"caribdb"
"Coffea liberica",0,0,0,0,0,0,"danielle"
"Colchicum autumnale",0,0,0,0,0,0,"gbif"
"Colubrina asiatica",0,0,1,0,0,0,"caribdb"
"Combretum paniculatum",0,0,0,0,0,0,"gbif"
"Commelina benghalensis",0,0,0,0,0,0,"gbif"
"Commelina communis",1,0,0,0,0,0,"gbif"
"Commelina subulata",0,0,0,0,0,0,"gbif"
"Conium maculatum",0,0,0,0,0,0,"gbif"
"Conocarpus erecta",0,0,0,0,0,0,"danielle"
"Convolvulus arvensis",0,0,0,0,0,0,"gbif"
"Corchorus aestuans",0,0,0,0,1,1,"gbif"
"Corchorus olitorius",0,0,0,0,0,0,"gbif"
"Cordia dichotoma",0,0,0,0,0,0,"danielle"
"Cordia sebestena",1,1,1,1,1,1,"gbif"
"Coreopsis lanceolata",0,1,0,0,0,0,"gbif"
"Coreopsis tinctoria",0,0,0,0,0,0,"gbif"
"Coriandrum sativum",0,0,0,0,0,0,"gbif"
"Cornus florida",0,0,0,0,0,0,"gbif"
"Cortaderia jubata",0,0,0,0,0,0,"danielle"
"Cortaderia selloana",0,0,0,0,0,0,"danielle"
"Cosmos bipinnatus",0,0,0,0,0,0,"gbif"
"Cosmos caudatus",1,0,1,1,0,1,"gbif"
"Cosmos sulphureus",0,0,0,1,0,0,"gbif"
"Costus pulverulentus",0,0,0,0,0,0,"danielle"
"Costus speciosus",0,0,0,0,0,0,"danielle"
"Cotoneaster franchetii",0,0,0,0,0,0,"gbif"
"Cotoneaster pannosus",0,0,0,0,0,0,"gbif"
"Cotula coronopifolia",0,0,0,0,0,0,"gbif"
"Crassula multicava",0,0,0,0,0,0,"gbif"
"Crassula ovata",0,0,0,0,0,0,"danielle"
"Crassula spathulata",0,0,0,0,0,0,"gbif"
"Crataegus monogyna",0,0,0,0,0,0,"gbif"
"Crepis capillaris",0,0,0,0,0,0,"gbif"
"Crepis occidentalis",0,0,0,1,0,0,"gbif"
"Crepis vesicaria",0,0,0,0,0,0,"gbif"
"Crescentia cujete",1,0,1,0,0,0,"gbif"
"Crocosmia ×crocosmiiflora",0,0,0,0,0,0,"danielle"
"Crossandra infundibuliformis",0,0,0,0,0,0,"danielle"
"Crotalaria agatiflora",0,0,0,0,0,0,"gbif"
"Crotalaria goreensis",0,0,0,0,0,0,"gbif"
