acceptedname,authority,uri,AI,BM,KY,MS,VG,TC,TC_discrep
Andropogon ternarius,Michx.,http://www.tropicos.org/Name/25506412,0,0,0,0,0,0,0
Andropogon virginicus,L.,http://www.tropicos.org/Name/25509277,0,1,0,0,0,0,0
Anethum graveolens,L.,http://www.tropicos.org/Name/1700006,0,0,0,0,0,0,1
Angiopteris evecta,(G. Forst.) Hoffm.,http://www.tropicos.org/Name/26609715,0,0,0,0,0,0,0
Annona glabra,L.,http://www.tropicos.org/Name/1600683,1,0,0,1,1,0,0
Annona reticulata,L.,http://www.tropicos.org/Name/1600671,0,0,1,1,0,0,0
Annona squamosa,L.,http://www.tropicos.org/Name/1600002,1,1,1,1,1,1,-1
Anoda cristata,(L.) Schltdl.,http://www.tropicos.org/Name/19600947,0,0,0,0,0,0,0
Anredera cordifolia,(Ten.) Steenis,http://www.tropicos.org/Name/3200042,0,1,0,0,0,0,0
Anredera leptostachys,(Moq.) Steenis,http://www.tropicos.org/Name/3200021,0,0,0,0,0,0,0
Anthemis arvensis,L.,http://www.tropicos.org/Name/2700059,0,0,0,0,0,0,0
Anthemis cotula,L.,http://www.tropicos.org/Name/2700066,0,1,0,0,0,0,0
Anthoxanthum odoratum,L.,http://www.tropicos.org/Name/25506855,0,0,0,0,0,0,0
Antigonon leptopus,Hook. & Arn.,http://www.tropicos.org/Name/26000132,0,0,1,1,0,0,0
Aphanes arvensis,L.,http://www.tropicos.org/Name/27800030,0,0,0,0,0,0,0
Apium graveolens,L.,http://www.tropicos.org/Name/1700014,0,1,0,0,0,0,0
Apocynum androsaemifolium,L.,http://www.tropicos.org/Name/1800003,0,0,0,0,0,0,0
Aquilegia vulgaris,L.,http://www.tropicos.org/Name/27100059,0,1,0,0,0,0,0
Arabidopsis thaliana,(L.) Heynh.,http://www.tropicos.org/Name/4100029,0,0,0,0,0,0,0
Arachis hypogaea,L.,http://www.tropicos.org/Name/13024813,1,0,0,0,0,0,0
Araucaria columnaris,(J.R. Forst.) Hook.,http://www.tropicos.org/Name/2300004,0,0,0,0,0,0,0
Araucaria heterophylla,(Salisb.) Franco,http://www.tropicos.org/Name/2300027,0,1,0,0,0,1,-1
Archontophoenix alexandrae,(F. Muell.) H. Wendl. & Drude,http://www.tropicos.org/Name/2401875,0,0,0,0,0,0,0
Arctostaphylos pungens,Kunth,http://www.tropicos.org/Name/12300584,0,0,0,0,0,0,0
Arctotheca calendula,(L.) Levyns,http://www.tropicos.org/Name/2717157,0,0,0,0,0,0,0
Ardisia crenata,Sims,http://www.tropicos.org/Name/22001859,0,0,0,0,0,0,0
Ardisia elliptica,Thunb.,http://www.tropicos.org/Name/22001134,0,1,0,0,0,0,0
Ardisia solanacea,Roxb.,http://www.tropicos.org/Name/22000008,0,0,0,0,0,0,0
Arenga pinnata,(Wurmb) Merr.,http://www.tropicos.org/Name/2401365,0,0,0,0,0,0,0
Argemone mexicana,L.,http://www.tropicos.org/Name/24000115,1,1,1,0,1,1,0
Argemone ochroleuca,Sweet,http://www.tropicos.org/Name/24000198,0,0,0,0,0,0,0
Aristea ecklonii,Baker,http://www.tropicos.org/Name/16600929,0,0,0,0,0,0,0
Aristida purpurascens,Poir.,http://www.tropicos.org/Name/25507793,0,0,0,0,0,0,0
Aristolochia elegans,Mast.,http://www.tropicos.org/Name/2500187,0,1,0,0,0,0,0
Aristolochia elegans,Mast.,http://www.tropicos.org/Name/2500187,0,0,0,0,0,0,0
Aristolochia ringens,Vahl,http://www.tropicos.org/Name/2500164,0,0,0,0,0,0,0
Artabotrys hexapetalus,(L. f.) Bhandari,http://www.tropicos.org/Name/1600003,0,0,0,0,0,0,0
Artemisia absinthium,L.,http://www.tropicos.org/Name/2701751,0,0,0,0,0,0,0
Artemisia californica,Less.,http://www.tropicos.org/Name/2709371,0,0,0,0,0,0,0
Artemisia ludoviciana,Nutt.,http://www.tropicos.org/Name/2700144,0,0,0,0,0,0,0
Artemisia vulgaris,L.,http://www.tropicos.org/Name/2700154,0,0,0,0,0,0,0
Arthraxon hispidus,(Thunb.) Makino,http://www.tropicos.org/Name/25508249,0,0,0,0,0,0,0
Arthrostemma ciliatum,Pav. ex D. Don,http://www.tropicos.org/Name/50074504,0,0,0,0,0,0,0
Artocarpus altilis,(Parkinson) Fosberg,http://www.tropicos.org/Name/21300472,1,0,1,1,0,0,0
Arundina graminifolia,(D. Don) Hochr.,http://www.tropicos.org/Name/23503275,0,0,0,0,0,0,0
Arundo donax,L.,http://www.tropicos.org/Name/25509170,0,1,0,0,0,1,-1
Asclepias curassavica,L.,http://www.tropicos.org/Name/2603005,1,1,1,1,0,1,0
Asclepias incarnata,L.,http://www.tropicos.org/Name/2600001,0,0,0,0,0,0,0
Asclepias syriaca,L.,http://www.tropicos.org/Name/2600005,0,1,0,0,0,0,0
Asparagus africanus,Lam.,http://www.tropicos.org/Name/18400156,0,1,0,0,0,0,0
Asparagus densiflorus,(Kunth) Jessop,http://www.tropicos.org/Name/18403267,0,1,0,0,0,0,0
Asparagus officinalis,L.,http://www.tropicos.org/Name/18403589,0,0,0,0,0,0,0
Asparagus setaceus,(Kunth) Jessop,http://www.tropicos.org/Name/18403288,0,0,0,0,0,0,0
Asparagus setaceus,(Kunth) Jessop,http://www.tropicos.org/Name/18403288,0,1,0,0,0,0,0
Aster amellus,L.,http://www.tropicos.org/Name/2700162,0,0,0,0,0,0,0
Aster indicus var. indicus,,http://www.tropicos.org/Name/100379122,0,0,0,0,0,0,0
Astragalus garbancillo,Cav.,http://www.tropicos.org/Name/13016762,0,0,0,0,0,0,0
Asystasia gangetica,(L.) T. Anderson,http://www.tropicos.org/Name/100012,0,0,0,0,0,0,0
Atriplex hortensis,L.,http://www.tropicos.org/Name/7200081,0,0,0,0,0,0,0
Atriplex patula,L.,http://www.tropicos.org/Name/7200006,0,0,0,0,0,0,0
Atriplex rosea,L.,http://www.tropicos.org/Name/7200212,0,0,0,0,0,0,0
Avena barbata,Pott ex Link,http://www.tropicos.org/Name/25510596,0,0,1,0,0,0,0
Avena fatua,L.,http://www.tropicos.org/Name/25509313,0,1,0,0,0,0,0
Avena sativa,L.,http://www.tropicos.org/Name/25509314,0,1,0,0,0,0,0
Avena sterilis,L.,http://www.tropicos.org/Name/25510742,0,0,1,0,0,0,0
Avena strigosa,Schreb.,http://www.tropicos.org/Name/25510744,0,0,0,0,0,0,0
Avicennia germinans,(L.) L.,http://www.tropicos.org/Name/33702454,0,0,0,0,0,0,0
Axonopus fissifolius,(Raddi) Kuhlm.,http://www.tropicos.org/Name/25517367,0,0,0,0,0,0,0
Azadirachta indica,A. Juss.,http://www.tropicos.org/Name/20400352,0,0,0,0,0,1,-1
Azolla caroliniana,Willd.,http://www.tropicos.org/Name/26602846,0,0,0,0,0,1,-1
Azolla filiculoides,Lam.,http://www.tropicos.org/Name/26602847,0,0,0,0,0,0,0
Baccharis halimifolia,L.,http://www.tropicos.org/Name/2709528,0,0,0,0,0,0,0
Baccharis salicifolia,(Ruiz & Pav.) Pers.,http://www.tropicos.org/Name/2701905,0,0,0,0,0,0,0
Baltimora recta,L.,http://www.tropicos.org/Name/2701913,0,0,0,0,0,0,0
Bambusa balcooa,Roxb.,http://www.tropicos.org/Name/25513318,0,0,0,0,0,0,0
Bambusa vulgaris,Schrad. ex J.C. Wendl.,http://www.tropicos.org/Name/25509331,0,0,0,0,0,0,0
Barbarea verna,(Mill.) Asch.,http://www.tropicos.org/Name/4100056,0,0,0,0,0,0,0
Barleria cristata,L.,http://www.tropicos.org/Name/100016,0,0,0,0,0,0,0
Barleria lupulina,Lindl.,http://www.tropicos.org/Name/101314,1,1,0,0,0,0,0
Barleria prionitis,L.,http://www.tropicos.org/Name/100022,0,0,0,0,0,0,0
Barleria repens,Nees,http://www.tropicos.org/Name/101905,0,0,0,0,0,0,0
Barleria strigosa,Willd.,http://www.tropicos.org/Name/100023,1,0,0,0,0,0,0
Barringtonia asiatica,(L.) Kurz,http://www.tropicos.org/Name/17900286,0,0,0,0,0,0,0
Basella alba,L.,http://www.tropicos.org/Name/3200025,0,0,0,0,0,1,-1
Basilicum polystachyon,(L.) Moench,http://www.tropicos.org/Name/17602871,0,0,0,0,0,0,0
Bauhinia monandra,Kurz,http://www.tropicos.org/Name/13000872,0,1,1,0,0,0,0
Bauhinia purpurea,L.,http://www.tropicos.org/Name/13047080,0,0,0,0,0,1,-1
Bauhinia variegata,L.,http://www.tropicos.org/Name/13027460,0,0,0,0,0,1,-1
Begonia cucullata,Willd.,http://www.tropicos.org/Name/3400354,0,0,0,0,0,0,0
Begonia foliosa,Kunth,http://www.tropicos.org/Name/3400605,0,0,0,0,0,0,0
Begonia hirtella,Link,http://www.tropicos.org/Name/3400168,0,0,0,0,0,0,0
Begonia vitifolia,Schott,http://www.tropicos.org/Name/3400335,0,0,0,0,0,0,0
Bellis perennis,L.,http://www.tropicos.org/Name/2700290,1,0,0,0,0,0,0
Berberis vulgaris,L.,http://www.tropicos.org/Name/3500015,0,1,0,0,0,0,0
Bergia capensis,L.,http://www.tropicos.org/Name/11800019,0,0,0,0,0,0,0
