name,source,Af,Am,As,Aw,Any_A,Cfa,Cfb,Cs,Cw,Notes
Clematis terniflora,CyprusLongList,,,,,,1,,,,
Cornus sericea,EULongList,,,,,,1,1,1,,
Cotoneaster horizontalis,CyprusLongList,,,,,,1,1,,,
Cotoneaster lacteus,CyprusLongList,,,,,,1,1,1,,
Cotula australis,CyprusLongList,,,,,,1,1,1,,
Cotula coronopifolia,CyprusLongList,,,,,,1,1,1,,
Vincetoxicum rossicum,EULongList,,,,,,,1,,,Vincetoxicum rossicum
Cyperus eragrostis,EULongList,,,,,,1,1,1,,
Diospyros lotus,CyprusLongList,,,,,,1,1,1,1,
Diospyros virginiana,EULongList,,,,,,1,1,1,,
Dysphania multifida,CyprusLongList,,,,,,1,1,1,1,
Echinocystis lobata,EULongList,,,,,,1,1,1,,
Ehrharta calycina,CyprusLongList,,,,,,1,1,1,,
Ehrharta villosa,EULongList,,,,,,1,1,1,1,
Elaeagnus umbellata,EULongList,,,,,,1,1,,1,
Elodea canadensis,CyprusLongList,,,,,,1,1,1,,
Embothrium coccineum,EULongList,,,,,,1,1,,,mainly cfb
Eriochloa villosa,EULongList,,,,,,1,1,,1,
Euonymus fortunei,CyprusLongList,,,,,,1,1,,1,
Euonymus japonicus,CyprusLongList,,,,,,1,1,1,1,
Fallopia baldschuanica,EULongList,,,,,,1,1,1,,
Ficus erecta,EULongList,,,,,,1,,,1,
Firmiana simplex,EULongList,,,,,,1,,1,1,
Fraxinus nigra,EULongList,,,,,,1,,1,,"*1 cs record, prob from gibraltar"
Fraxinus pennsylvannica,CyprusLongList,,,,,,1,1,,1,*1 cw record from S Africa
Freesia alba,CyprusLongList,,,,,,1,1,1,,
Geranium thunbergii,EULongList,,,,,,1,,1,,* 1 cs record from Sicily
Gunnera tinctoria,EULongList,,,,,,1,1,1,,
Helianthus angustifolius,EULongList,,,,,,1,,1,,
Herbertia lahue,EULongList,,,,,,1,,1,1,
Houttuynia cordata,EULongList,,,,,,1,1,1,1,
Ilex crenata,EULongList,,,,,,1,1,1,1,
Impatiens balfourii,CyprusLongList,,,,,,1,1,1,1,
Impatiens glandulifera,CyprusLongList,,,,,,1,1,,,
Kummerowia stipulacea,EULongList,,,,,,1,,,1,
Lagarosiphon major,CyprusLongList,,,,,,1,1,,1,
Lepidium coronopus,CyprusLongList,,,,,,,1,1,,
Ligustrum lucidum,EULongList,,,,,,1,1,1,,
Ligustrum obtusifolium,EULongList,,,,,,1,1,,,
Ligustrum ovalifolium,CyprusLongList,,,,,,1,1,1,,
Ligustrum sinense,CyprusLongList,,,,,,1,1,1,,
Ligustrum tschonoskii,EULongList,,,,,,1,,1,,
Lilium formosanum,EULongList,,,,,,1,,,1,
Liriope spicata,EULongList,,,,,,1,,,1,
Livistona australis,EULongList,,,,,,1,1,1,,
Lonicera japonica,EULongList,,,,,,1,1,1,,
Lonicera maackii,CyprusLongList,,,,,,1,1,1,,
Lonicera morrowii,CyprusLongList,,,,,,1,1,,,
Lonicera nitida,EULongList,,,,,,,1,,1,
Lupinus arboreus,CyprusLongList,,,,,,,1,1,,
Lycium barbarum,CyprusLongList,,,,,,1,1,1,,
Lycoris radiata,EULongList,,,,,,1,1,1,,
Maackia amurensis,EULongList,,,,,,1,1,,,
Magnolia kobus,EULongList,,,,,,1,1,1,,
Magnolia kobus,EULongList,,,,,,,,,,
Magnolia obovata,EULongList,,,,,,1,1,1,,
Malephora purpuro-crocera,CyprusLongList,,,,,,,,1,,
Mesembryanthemum crystallinum,EULongList,,,,,,1,1,1,,
Mimosa pudica,CyprusLongList,,,,,,,,,,
Miscanthus sinensis,EULongList,,,,,,1,1,,1,
Monarda punctata,EULongList,,,,,,1,,,,
Myrica rubra,EULongList,,,,,,1,,,1,
Nandina domestica,EULongList,,,,,,1,1,1,1,
Nassella neesiana,CyprusLongList,,,,,,1,1,1,,Nassella neesiana
Nassella trichotoma,CyprusLongList,,,,,,,,,,
Nothoscordum bivalve,EULongList,,,,,,1,,,1,Nothoscordum bivalve
Opuntia engelmanii,CyprusLongList,,,,,,1,,1,,
Osmanthus heterophyllus,EULongList,,,,,,1,1,1,,
Parthenocissus quinquefolia,CyprusLongList,,,,,,1,1,,,
Pauwlonia tomentosa,EULongList,,,,,,1,1,1,1,
Pavonia hastata,EULongList,,,,,,1,1,1,1,
Persicaria perfoliata,CyprusLongList,,,,,,1,,1,,
Persicaria wallichii,EULongList,,,,,,1,1,1,1,Persicaria wallichii
Phytolacca americana,EULongList,,,,,,1,1,1,,
Pinellia ternata,EULongList,,,,,,1,,1,1,
Plantago rugelii,EULongList,,,,,,1,,,,
Plectranthus ciliatus,EULongList,,,,,,1,1,1,1,
Plectranthus ecklonii,EULongList,,,,,,1,1,1,1,
Pluchea sericea,CyprusLongList,,,,,,,,1,,
Prunus munsoniana,EULongList,,,,,,1,,1,,
Rhododendron japonicum,EULongList,,,,,,1,1,1,,
Robinia hispida,CyprusLongList,,,,,,1,1,1,1,
Rosa mutliflora,EULongList,,,,,,1,1,1,,
Rubus armeniacus,EULongList,,,,,,1,1,1,,Rubus armeniacus
Salvinia molesta,EULongList,,,,,,,,,,*Salvinia_molesta
Saururus cernuus,CyprusLongList,,,,,,1,1,1,,
Schismus barbatus,CyprusLongList,,,,,,1,1,1,,
Senecio angulatus,CyprusLongList,,,,,,1,1,1,,
Senecio inaequidens,CyprusLongList,,,,,,1,1,1,1,
Sisyrinchium atlanticum,EULongList,,,,,,1,,,,
Solanum linnaeanum,CyprusLongList,,,,,,1,1,1,,
Solanum physalifolium,CyprusLongList,,,,,,1,1,1,,
Solidago altissima,EULongList,,,,,,1,1,1,,
Solidago nemoralis,CyprusLongList,,,,,,1,1,,,
Solidago nemoralis,EU_GB_combined,,,,,,1,1,,,
Solidago ptarmicoides,EULongList,,,,,,1,,,,
Sorbus alnifolia,EULongList,,,,,,1,,,,
Spiraea alba,EULongList,,,,,,1,,,,
Spiraea japonica,EULongList,,,,,,1,1,,1,
Spiraea prunifolia,EULongList,,,,,,1,1,1,,
Spiraea tomentosa,EULongList,,,,,,1,1,1,,
Stipa neesiana,EULongList,,,,,,1,1,1,,
Stipa tenuissima,EULongList,,,,,,1,1,1,,
Stipa trichotoma,EULongList,,,,,,1,1,,,
Styrax japonicus,EULongList,,,,,,1,1,,,
Tamarix ramosissima,CyprusLongList,,,,,,1,1,1,,
Toxicodendron radicans,EULongList,,,,,,1,1,,,
Trachycarpus fortunei,EULongList,,,,,,1,1,1,1,
Triadica sebifera,CyprusLongList,,,,,,1,,1,1,Triadica sebifera
Ugni molinae,EULongList,,,,,,1,1,,,
Viburnum plicatum,EULongList,,,,,,1,1,1,,
Westringia fruticosa,EULongList,,,,,,1,1,1,,
Zelkova serrata,EULongList,,,,,,1,1,1,,
Zostera japonica,CyprusLongList,,,,,,1,1,1,,
