Family,Taxa,Genus,Species,Common name  ,WRA score  ,WRA rating,WRA designation,Date  ,Filename,
Casuarinaceae,Gymnostoma papuanum,Gymnostoma ,papuanum,gymnostoma,0,Low Risk,L (HPWRA),14/08/2008,Gymnostoma papuanum.xls,
Cucurbitaceae,Gynostemma pentaphyllum,Gynostemma,pentaphyllum,"sweet tea vine, jiaogulan",8,High Risk,H (HPWRA),09/02/2016,Gynostemma pentaphyllum.pdf,
Fabaceae,Haematoxylum campechianum,Haematoxylum ,campechianum,logwood,8,High Risk,H (HPWRA),23/11/2008,Haematoxylum campechianum.xls,
Proteaceae,Hakea salicifolia,Hakea ,salicifolia,willow-leaved hakea,13,High Risk,H (HPWRA),20/04/2011,Hakea salicifolia.pdf,
Stilbaceae,Halleria lucida,Halleria,lucida,"tree fuchsia, African honeysuckle, white olive",8,High Risk,H (HPWRA),22/01/2018,Halleria lucida.pdf,
Rubiaceae,Hamelia patens,Hamelia ,patens,firebush,7,High Risk,H (HPWRA),12/05/2008,Hamelia patens.xls,
Bignoniaceae,Handroanthus impetiginosus,Handroanthus,impetiginosa,"mauve tabebuia, pink trumpet tree",1,Low Risk,L (HPWRA),31/10/2013,Handroanthus impetiginosus.pdf,
Bignoniaceae,Handroanthus serratifolius,Handroanthus ,serratifolius,"pau d'arco amarelo, yellow ipe",0,Low Risk,L (HPWRA),22/03/2014,Handroanthus serratifolius.pdf,
Bignoniaceae,Haplophragma adenophyllum,Haplophragma ,adenophyllum,karenwood,0,Low Risk,L (HPWRA),23/11/2008,Haplophragma adenophyllum.xls,
Anacardiaceae,Harpephyllum caffrum,Harpephyllum,caffrum,wild plum,-1,Low Risk,L (HPWRA),06/04/2012,Harpephyllum caffrum.pdf,
Sapindaceae,Harpullia pendula,Harpullia ,pendula,tulipwood,-4,Low Risk,L (HPWRA),07/10/2002,Harpullia pendula.xls,
Cactaceae,Harrisia eriophora,Harrisia ,eriophora,"fragrant apple cactus, fragrant prickly apple",7,High Risk,H (HPWRA),09/10/2017,Harrisia eriophora.pdf,
Araliaceae,Hedera algeriensis,Hedera ,algeriensis,Algerian ivy,4,High Risk,H (HPWRA),28/04/2009,Hedera algeriensis.xls,
Araliaceae,Hedera helix,Hedera ,helix,English ivy,10,High Risk,H (HPWRA),12/05/2008,Hedera helix.xls,
Zingiberaceae,Hedychium coronarium,Hedychium ,coronarium,white ginger,14,High Risk,H (Hawaii),20/08/2003,Hedychium coronarium.xls,
Zingiberaceae,Hedychium flavescens,Hedychium ,flavescens,yellow ginger,11,High Risk,H (HPWRA),25/07/2011,Hedychium flavescens.pdf,
Zingiberaceae,Hedychium gardnerianum,Hedychium ,gardnerianum,kahili ginger,16,High Risk,H (Hawaii),28/05/2004,Hedychium gardnerianum.xls,
Zingiberaceae,Hedychium longicornutum,Hedychium,longicornutum,"perched gingerwort, hornbill's ginger",5,Evaluate,Evaluate,10/05/2013,Hedychium longicornutum.pdf,
Asteraceae,Helianthus annuus,Helianthus ,annuus,sunflower,10.5,High Risk,H (HPWRA),14/08/2008,Helianthus annuus.xls,
Heliconiaceae,Heliconia caribaea,Heliconia ,caribaea,lobster claw,-1,Low Risk,L (HPWRA),07/10/2002,Heliconia caribaea.xls,
Heliconiaceae,Heliconia psittacorum,Heliconia ,psittacorum,parrot's beak,11,High Risk,H (HPWRA),27/06/2005,Heliconia psittacorum.xls,
Heliconiaceae,Heliconia stricta,Heliconia ,stricta,"small lobster claw, 'Dwarf Jamaican', firebird",7,High Risk,H (HPWRA),29/09/2017,Heliconia stricta.pdf,
Poaceae,Helictotrichon sempervirens,Helictotrichon,sempervirens,blue oat grass,1,Low Risk,L (HPWRA),31/05/2012,Helictotrichon sempervirens.pdf,
Tiliaceae,Heliocarpus popayanensis,Heliocarpus ,popayanensis,moho,7,High Risk,H (HPWRA),03/07/2008,Heliocarpus popayanensis.xls,
Liliaceae,Hemerocallis citrina,Hemerocallis ,citrina,citron day-lily,-7,Low Risk,L (HPWRA),23/03/2010,Hemerocallis citrina.xls,
Liliaceae,Hemerocallis fulva var. aurantiaca,Hemerocallis   ,fulva var. aurantiaca,day lily,-3,Low Risk,L (HPWRA),18/03/2010,Hemerocallis fulva var aurantiaca.xls,
Liliaceae,Hemerocallis lilioasphodelus,Hemerocallis ,lilioasphodelus,lemon day-lily,-1,Low Risk,L (HPWRA),05/04/2010,Hemerocallis lilioasphodelus.pdf,
Liliaceae,Hemerocallis thunbergii,Hemerocallis ,thunbergii,late yellow day-lily,-6,Low Risk,L (HPWRA),24/03/2010,Hemerocallis thunbergii.xls,
Acanthaceae,Hemigraphis alternata,Hemigraphis ,alternata,metallic plant,1,Low Risk,L (HPWRA),01/08/2003,Hemigraphis alternata.xls,
Sterculiaceae,Heritiera littoralis,Heritiera ,littoralis,looking-glass tree,-2,Low Risk,L (HPWRA),09/02/2004,Heritiera littoralis.xls,
Hernandiaceae,Hernandia ovigera,Hernandia ,ovigera,jack in the box tree,-4,Low Risk,L (HPWRA),27/02/2004,Hernandia ovigera.xls,
Hernandiaceae,Hernandia sonora,Hernandia ,sonora,toporite,-5,Low Risk,L (HPWRA),07/10/2002,Hernandia sonora.xls,
Pontederiaceae,Heteranthera reniformis,Heteranthera,reniformis,kidneyleaf mudplantain,26,High Risk,H (HPWRA),18/08/2013,Heteranthera reniformis.pdf,
Rosaceae,Heteromeles arbutifolia,Heteromeles,arbutifolia,"toyon, California holly",9,High Risk,H (HPWRA),01/07/2012,Heteromeles arbutifolia.pdf,
Malpighiaceae,Heteropterys brachiata,Heteropterys,brachiata,"Beechey's withe, redwing ",7,High Risk,H (HPWRA),16/05/2016,Heteropterys brachiata.pdf,
Malpighiaceae,Heteropterys glabra,Heteropterys,glabra,"red wing, mariposa, vining maple",7,High Risk,H (HPWRA),12/05/2016,Heteropterys glabra.pdf,
Arecaceae,Heterospathe elata,Heterospathe,elata,"sagisi Palm, palma brava",5,Evaluate,Evaluate,16/10/2012,Heterospathe elata.pdf,
Asteraceae,Heterotheca grandiflora,Heterotheca ,grandiflora,telegraph weed,14,High Risk,H (Hawaii),01/05/2015,Heterotheca grandiflora.pdf,
Malvaceae,Hibiscus calyphyllus,Hibiscus ,calyphyllus,lemonyellow rosemallow,1,Low Risk,L (HPWRA),15/07/2003,Hibiscus calyphyllus.xls,
Malvaceae,Hibiscus cannabinus,Hibiscus,cannabinus,"Kenaf, Deccan hemp",3,Evaluate,Evaluate,25/07/2014,Hibiscus cannabinus.pdf,
Malvaceae,Hibiscus insularis,Hibiscus ,insularis,Philip Island hibiscus,-3,Low Risk,L (HPWRA),02/11/2006,Hibiscus insularis.xls,
Malvaceae,Hibiscus mutabilis,Hibiscus,mutabilis,"confederate-rose, cotton rose",0,Low Risk,L (HPWRA),09/11/2011,Hibiscus mutabilis.pdf,
Malvaceae,Hibiscus rosa-sinensis,Hibiscus ,rosa-sinensis,Chinese hibiscus,-2,Low Risk,L (HPWRA),07/10/2002,Hibiscus rosa-sinensis.xls,
Malvaceae,Hibiscus sabdariffa,Hibiscus ,sabdariffa,roselle,6,Low Risk,L (HPWRA),09/12/2009,Hibiscus sabdariffa.xls,
Malvaceae,Hibiscus schizopetalus,Hibiscus ,schizopetalus,coral hibiscus,-4,Low Risk,L (HPWRA),11/05/2004,Hibiscus schizopetalus.xls,
Malvaceae,Hibiscus syriacus,Hibiscus ,syriacus,rose of Sharon,5,Evaluate,Evaluate,08/06/2010,Hibiscus syriacus.pdf,
Liliaceae,Hippeastrum puniceum,Hippeastrum ,puniceum,Barbados lily,2,Low Risk,L (HPWRA),27/02/2004,Hippeastrum puniceum.xls,
Elaeagnaceae,Hippophae rhamnoides,Hippophae ,rhamnoides,"sea buckthorn, sallowthorn",9.5,High Risk,H (HPWRA),31/07/2017,Hippophae rhamnoides.pdf,
Malpighiaceae,Hiptage benghalensis,Hiptage , benghalensis,hiptage,8,High Risk,H (HPWRA),03/12/2004,Hiptage benghalensis.xls,
Poaceae,Holcus lanatus,Holcus ,lanatus,"common velvet grass, Yorkshire fog",20,High Risk,H (Hawaii),09/12/2015,Holcus lanatus.pdf,
Verbenaceae,Holmskioldia sanguinea,Holmskioldia ,sanguinea,Chinese hatplant,-1,Low Risk,L (HPWRA),07/10/2002,Holmskioldia sanguinea.xls,
Verbenaceae,Holmskioldia tettensis,Holmskioldia ,tettensis,purple Chinese hatplant,-5,Low Risk,L (HPWRA),08/06/2005,Holmskioldia tettensis.xls,
Euphorbiaceae,Homalanthus populifolius,Homalanthus ,populifolius,bleeding heart tree,15,High Risk,H (HPWRA),01/03/2011,Homalanthus populifolius.xls,
Apocynaceae,Hoodia currorii,Hoodia ,currorii,"Ghaap, hoodia cactus",-2,Low Risk,L (HPWRA),29/04/2015,Hoodia currorii.pdf,
Apocynaceae,Hoodia gordonii,Hoodia ,gordonii,"ghaap, hoodia",0,Low Risk,L (HPWRA),15/04/2015,Hoodia gordonii.pdf,
Apocynaceae,Hoodia juttae,Hoodia ,juttae,hoodia,-1,Low Risk,L (HPWRA),21/04/2015,Hoodia juttae.pdf,
Apocynaceae,Hoodia officinalis,Hoodia ,officinalis,hoodia,-2,Low Risk,L (HPWRA),07/05/2015,Hoodia officinalis.pdf,
Apocynaceae,Hoodia parviflora,Hoodia ,parviflora,hoodia,0,Low Risk,L (HPWRA),25/04/2015,Hoodia parviflora.pdf,
