Family,Taxa,Genus,Species,Common name  ,WRA score  ,WRA rating,WRA designation,Date  ,Filename,
Clusiaceae,Clusia rosea,Clusia ,rosea,autograph tree,9,High Risk,H (HPWRA),25/02/2013,Clusia rosea.pdf,
Euphorbiaceae,Cnidoscolus aconitifolius,Cnidoscolus ,aconitifolius,"tree spinach, chaya",10,High Risk,H (HPWRA),09/09/2011,Cnidoscolus aconitifolius.pdf,
Euphorbiaceae,Cnidoscolus chayamansa,Cnidoscolus ,chayamansa,"tree-spinach, chaya",1,Low Risk,L (HPWRA),12/09/2011,Cnidoscolus chayamansa.pdf,
Cucurbitaceae,Coccinia grandis,Coccinia ,grandis,ivy gourd,21,High Risk,H (Hawaii),07/10/2002,Coccinia grandis.xls,
Polygonaceae,Coccoloba uvifera,Coccoloba ,uvifera,"sea grape, platterleaf, Jamaican kino",7,High Risk,H (HPWRA),31/05/2017,Coccoloba uvifera.pdf,
Arecaceae,Coccothrinax barbadensis,Coccothrinax ,barbadensis,Puerto Rico silver palm,2,Evaluate,Evaluate,02/07/2009,Coccothrinax barbadensis.xls,
Bixaceae,Cochlospermum vitifolium,Cochlospermum ,vitifolium,silk cottontree,-4,Low Risk,L (HPWRA),07/10/2002,Cochlospermum vitifolium.xls,
Arecaceae,Cocos nucifera,Cocos ,nucifera,coconut palm,-4,Low Risk,L (HPWRA),14/08/2008,Cocos nucifera.xls,
Euphorbiaceae,Codiaeum variegatum,Codiaeum ,variegatum,croton,-4,Low Risk,L (HPWRA),07/10/2002,Codiaeum variegatum.xls,
Rubiaceae,Coffea arabica,Coffea ,arabica,coffee,2,High Risk,H (HPWRA),07/10/2002,Coffea arabica.xls,
Rubiaceae,Coffea liberica,Coffea ,liberica,Liberian coffee,1,Evaluate,Evaluate,23/01/2004,Coffea liberica.xls,
Plantaginaceae,Collinsia heterophylla,Collinsia ,heterophylla,Chinese houses,7,High Risk,H (HPWRA),03/10/2014,Collinsia heterophylla.pdf,
Arecaceae,Colpothrinax wrightii,Colpothrinax ,wrightii,barrel palm,-2,Low Risk,L (HPWRA),28/04/2009,Colpothrinax wrightii.xls,
Fabaceae,Colvillea racemosa,Colvillea ,racemosa,Colville's glory,-8,Low Risk,L (HPWRA),19/01/2004,Colvillea racemosa.xls,
Combretaceae,Combretum constrictum,Combretum ,constrictum,combretum,4,Low Risk,L (HPWRA),28/02/2012,Combretum constrictum.pdf,
Combretaceae,Combretum indicum,Combretum ,indicum,"Burma creeper, quisqualis",10,High Risk,H (HPWRA),12/09/2014,Combretum indicum.pdf,
Commelinaceae,Commelina communis,Commelina, communis,Asiatic daisy,21,High Risk,H (HPWRA),02/12/2011,Commelina communis.pdf,
Commelinaceae,Commelina diffusa,Commelina,diffusa,"climbing dayflower, honohono",23,High Risk,H (HPWRA),28/11/2011,Commelina diffusa.pdf,
Verbenaceae,Congea tomentosa,Congea ,tomentosa,showerr of orchids,1,Low Risk,L (HPWRA),24/09/2009,Congea tomentosa.xls,
Combretaceae,Conocarpus erectus,Conocarpus ,erectus,button mangrove,4,Low Risk,L (HPWRA),07/10/2002,Conocarpus erectus.xls,
Fabaceae,Copaifera langsdorffii,Copaifera ,langsdorffii,diesel tree,4,Evaluate,Evaluate,03/04/2008,Copaifera langsdorfii.xls,
Arecaceae,Copernicia prunifera,Copernicia ,prunifera,carnauba wax palm,0,Low Risk,L (HPWRA),17/05/2005,Copernicia prunifera.xls,
Rubiaceae,Coprosma repens,Coprosma ,repens,creeping mirrorplant,8,High Risk,H (HPWRA),07/10/2002,Coprosma repens.xls,
Boraginaceae,Cordia alliodora,Cordia ,alliodora,"Spanish elm, Ecuador laurel",8,High Risk,H (HPWRA),27/08/2009,Cordia alliodora.xls,
Boraginaceae,Cordia collococca,Cordia,collococca,"clammy cherry, red manjack",-1,Low Risk,L (HPWRA),24/09/2016,Cordia collococca.pdf,
Boraginaceae,Cordia dichotoma,Cordia,dichotoma,"clammy cherry, glueberry tree, Indian cherry",9,High Risk,H (HPWRA),21/09/2016,Cordia dichotoma.pdf,
Boraginaceae,Cordia lutea,Cordia ,lutea,yellow geiger,-6,Low Risk,L (HPWRA),15/06/2005,Cordia lutea.xls,
Boraginaceae,Cordia monoica,Cordia,monoica,"sandpaper saucer-berry, snot berry",4,Evaluate,Evaluate,05/10/2012,Cordia monoica.pdf,
Boraginaceae,Cordia sebestena,Cordia ,sebestena,geiger tree,-1,Low Risk,L (HPWRA),07/10/2002,Cordia sebestena.xls,
Boraginaceae,Cordia subcordata,Cordia ,subcordata,kou,-3,Low Risk,L (HPWRA),20/08/2003,Cordia subcordata.xls,
Asparagaceae,Cordyline australis,Cordyline ,australis,"cabbage palm, cabbagetree, ",5,Evaluate,Evaluate,05/04/2017,Cordyline australis.pdf,
Asparagaceae,Cordyline banksii,Cordyline ,banksii,"forest cabbage tree, ti ngahere",0,Low Risk,L (HPWRA),06/04/2017,Cordyline banksii.pdf,
Asteraceae,Coreopsis lanceolata,Coreopsis ,lanceolata,"garden coreopsis, lanceleaf tickseed",12,High Risk,H (HPWRA),09/03/2014,Coreopsis lanceolata.pdf,
Asteraceae,Coreopsis tinctoria,Coreopsis ,tinctoria,"golden tickseed, plains coreopsis",4.5,High Risk,H (HPWRA),02/03/2014,Coreopsis tinctoria.pdf,
Poaceae,Cortaderia jubata,Cortaderia ,jubata,Andean pampas grass,26,High Risk,H (HPWRA),02/11/2006,Cortaderia jubata.xls,
Poaceae,Cortaderia selloana,Cortaderia ,selloana,pampas grass,24,High Risk,H (HPWRA),02/11/2006,Cortaderia selloana.xls,
Myrtaceae,Corymbia citriodora,Corymbia ,citriodora,lemon-scented gum,10,High Risk,H (HPWRA),10/05/2012,Corymbia citriodora.pdf,
Myrtaceae,Corymbia ficifolia,Corymbia ,ficifolia,"red-flowering gum, scarlet-flowering gum",0,Low Risk,L (HPWRA),21/02/2018,Corymbia ficifolia.pdf,
Corynocarpaceae,Corynocarpus laevigatus,Corynocarpus ,laevigatus,karaka nut,7,High Risk,H (Hawaii),08/10/2009,Corynocarpus laevigatus.xls,
Arecaceae,Corypha lecomtei,Corypha ,lecomtei,"lan palm, la buong, thi talipot palm",2,Evaluate,Evaluate,13/08/2014,Corypha lecomtei.pdf,
Arecaceae,Corypha umbraculifera,Corypha ,umbraculifera,talipot palm,6,Evaluate,Evaluate,30/07/2014,Corypha umbraculifera.pdf,
Asteraceae,Cosmos atrosanguineus,Cosmos ,atrosanguineus,"black cosmos, chocolate cosmos",-5,Low Risk,L (HPWRA),18/10/2017,Cosmos atrosanguineus.pdf,
Asteraceae,Cosmos bipinnatus,Cosmos,bipinnatus,"garden cosmos, Mexican aster",9,High Risk,H (HPWRA),24/02/2014,Cosmos bipinnatus.pdf,
Asteraceae,Cosmos sulphureus,Cosmos ,sulphureus,"orange cosmos, sulphur cosmos",9,High Risk,H (HPWRA),17/03/2014,Cosmos sulphureus.pdf,
Costaceae,Costus barbatus,Costus,barbatus,"spiral ginger, red tower ginger",-3,Low Risk,L (HPWRA),29/06/2016,Costus barbatus.pdf,
Costaceae,Costus dubius,Costus ,dubius,costus,8,High Risk,H (HPWRA),09/03/2007,Costus dubius.xls,
Costaceae,Costus lasius,Costus,lasius,yellow lollipop,1,Low Risk,L (HPWRA),17/11/2016,Costus lasius.pdf,
Costaceae,Costus malortieanus,Costus ,malortieanus,"stepladder ginger, spiral flag, spiral ginger",7,High Risk,H (HPWRA),02/08/2017,Costus malortieanus.pdf,
Costaceae,Costus pictus,Costus,pictus,"painted spiral ginger, spotted spiral ginger",2,Low Risk,L (HPWRA),08/08/2016,Costus pictus.pdf,
Costaceae,Costus scaber,Costus ,scaber,spiral head ginger,8,High Risk,H (HPWRA),07/09/2014,Costus scaber.pdf,
Costaceae,Costus spiralis,Costus,spiralis,"spiral costus, spiral ginger",0,Low Risk,L (HPWRA),02/08/2016,Costus spiralis.pdf,
Costaceae,Costus woodsonii,Costus ,woodsonii,Indian-head ginger,11,High Risk,H (HPWRA),03/07/2008,Costus woodsonii.xls,
Anacardiaceae,Cotinus coggygria,Cotinus ,coggygria,"fustet, smokebush",4,Evaluate,Evaluate,27/12/2010,Cotinus coggygria.pdf,
Rosaceae,Cotoneaster pannosus,Cotoneaster ,pannosus,silverleaf cotoneaster,11,High Risk,H (Hawaii),12/01/2017,Cotoneaster pannosus.pdf,
Lecythidaceae,Couroupita guianensis,Couroupita ,guianensis,cannonball tree,1,Low Risk,L (HPWRA),27/10/2013,Couroupita guianensis.pdf,
Crassulaceae,Crassula arborescens,Crassula,arborescens,"silver dollar plant, tree crassula",9,High Risk,H (HPWRA),12/08/2016,Crassula arborescens.pdf,
Crassulaceae,Crassula multicava,Crassula ,multicava,Cape Province pygmyweed,12,High Risk,H (HPWRA),27/07/2011,Crassula multicava.pdf,
Crassulaceae,Crassula ovata,Crassula ,ovata,jade plant,-4,Low Risk,L (HPWRA),06/08/2004,Crassula ovata.xls,
Capparaceae,Crateva religiosa,Crateva ,religiosa,spider tree,0,Low Risk,L (HPWRA),02/07/2009,Crateva religiosa.xls,
Hypericaceae,Cratoxylum formosum,Cratoxylum ,formosum,pink mempat,1,Evaluate,Evaluate,07/12/2010,Cratoxylum formosum.pdf,
Bignoniaceae,Crescentia cujete,Crescentia ,cujete,calabash tree,-8,Low Risk,L (HPWRA),07/10/2002,Crescentia cujete.xls,
Liliaceae,Crinum asiaticum,Crinum ,asiaticum,crinum lily,-4,Low Risk,L (HPWRA),20/11/2002,Crinum asiaticum.xls,
Acanthaceae,Crossandra infundibuliformis,Crossandra ,infundibuliformis,firecracker plant,2,Low Risk,L (HPWRA),06/10/2010,Crossandra infundibuliformis.pdf,
Fabaceae,Crotalaria juncea,Crotalaria ,juncea,Indian hemp,1,Evaluate,Evaluate,11/06/2012,Crotalaria juncea.pdf,
Fabaceae,Crotalaria verrucosa,Crotalaria ,verrucosa,"blue rattleweed, blue-flower rattlepod",10,High Risk,H (HPWRA),18/01/2018,Crotalaria verrucosa.pdf,
Taxodiaceae,Cryptomeria japonica,Cryptomeria ,japonica,"Japanese cedar, sugi",5,Evaluate,Evaluate,12/03/2015,Cryptomeria japonica.pdf,
Asclepiadaceae,Cryptostegia grandiflora,Cryptostegia ,grandiflora,"rubber vine, purple allamanda",28,High Risk,H (HPWRA),14/02/2011,Cryptostegia grandiflora.pdf,
Asclepiadaceae,Cryptostegia madagascariensis,Cryptostegia ,madagascariensis,Madagascar rubber vine,13,High Risk,H (HPWRA),12/08/2004,Cryptostegia madagascariensis.xls,
Rubiaceae,Cubanola domingensis,Cubanola,domingensis,"Dominica bell flower, campanita",-4,Low Risk,L (HPWRA),04/09/2012,Cubanola domingensis.pdf,
Cucurbitaceae,Cucumis metuliferus,Cucumis ,metuliferus,"African horned cucumber, jelly melon",11,High Risk,H (HPWRA),06/01/2015,Cucumis metuliferus.pdf,
Sapindaceae,Cupaniopsis anacardioides,Cupaniopsis ,anacardioides,"carrotwood, tuckeroo",10,High Risk,H (HPWRA),07/09/2017,Cupaniopsis anacardioides.pdf,
Lythraceae,Cuphea hyssopifolia,Cuphea ,hyssopifolia,false heather,5,Low Risk,L (HPWRA),07/10/2002,Cuphea hyssopifolia.xls,
Lythraceae,Cuphea ignea,Cuphea ,ignea,Mexican cigar plant,3,Low Risk,L (HPWRA),06/08/2004,Cuphea ignea.xls,
Lythraceae,Cuphea subuligera,Cuphea ,subuligera,mauve cuphea,1,Low Risk,L (HPWRA),02/07/2009,Cuphea subuligera.xls,
Cupressaceae,Cupressus arizonica,Cupressus ,arizonica,Arizona cypress,15,High Risk,H (HPWRA),02/06/2011,Cupressus arizonica.pdf,
Cupressaceae,Cupressus lusitanica,Cupressus ,lusitanica,Mexican cypress,6,Low Risk,L (HPWRA),02/11/2006,Cupresses lusitanica.xls,
Cupressaceae,Cupressus macrocarpa,Cupressus ,macrocarpa,Monterey cypress,7,High Risk,H (HPWRA),03/03/2010,Cupressus macrocarpa.xls,
Cupressaceae,Cupressus sempervirens,Cupressus,sempervirens,"Italian cypress, Mediterranean cypress",9,High Risk,H (HPWRA),12/07/2012,Cupressus sempervirens.pdf,
Cupressaceae,Cupressus x leylandii,Cupressus,x leylandii,Leyland-cypress,-7,Low Risk,L (HPWRA),25/05/2012,Cupressus x leylandii.pdf,
Zingiberaceae,Curcuma alismatifolia,Curcuma ,alismatifolia,"Siam pearl, Siam tulip",1,Low Risk,L (HPWRA),07/06/2016,Curcuma alismatifolia.pdf,
Zingiberaceae,Curcuma australasica,Curcuma,australasica,"Cape York lily, native turmeric",3,Low Risk,L (HPWRA),07/07/2016,Curcuma australasica.pdf,
Zingiberaceae,Curcuma longa,Curcuma ,longa,tumeric,-8,Low Risk,L (HPWRA),20/08/2003,Curcuma longa.xls,
Zingiberaceae,Curcuma zedoaria,Curcuma ,zedoaria,rose turmeric,-3,Low Risk,L (HPWRA),02/07/2009,Curcuma zedoaria.xls,
Araliaceae,Cussonia arenicola,Cussonia ,arenicola,sand cabbage,-1,Low Risk,L (HPWRA),22/05/2017,Cussonia arenicola.pdf,
Araliaceae,Cussonia paniculata,Cussonia ,paniculata,mountain cabbage tree,-7,Low Risk,L (HPWRA),09/02/2004,Cussonia paniculata.xls,
Araliaceae,Cussonia spicata,Cussonia ,spicata,cabbage tree,-5,Low Risk,L (HPWRA),09/02/2004,Cussonia spicata.xls,
Fabaceae,Cyamopsis tetragonoloba,Cyamopsis ,tetragonoloba,cluster bean,-11,Low Risk,L (HPWRA),28/04/2009,Cyamopsis tetragonoloba.xls,
Cyatheaceae,Cyathea australis,Cyathea,australis,rough tree fern,5,Evaluate,Evaluate,17/12/2012,Cyathea australis.pdf,
Cyatheaceae,Cyathea dealbata,Cyathea ,dealbata,"silver fern, ponga",2,Evaluate,Evaluate,01/10/2015,Cyathea dealbata.pdf,
Cyatheaceae,Cyathea medullaris,Cyathea ,medullaris,black tree fern,7,High Risk,H (HPWRA),07/10/2011,Cyathea medullaris.pdf,
Cycadaceae,Cycas revoluta,Cycas ,revoluta,king sago,-2,Low Risk,L (HPWRA),03/12/2004,Cycas revoluta.xls,
Rubiaceae,Cyclophyllum barbatum,Cyclophyllum,barbatum,"matira, Cyclophyllum",1,Evaluate,Evaluate,02/05/2014,Cyclophyllum barbatum.pdf,
Poaceae,Cymbopogon citratus,Cymbopogon ,citratus,lemongrass,-2,Low Risk,L (HPWRA),15/06/2005,Cymbopogon citratus.xls,
Poaceae,Cymbopogon martini,Cymbopogon ,martini,"ginger grass, Palmarosa",5,Low Risk,L (HPWRA),24/06/2014,Cymbopogon martini.pdf,
Poaceae,Cymbopogon nardus,Cymbopogon,nardus,citronella,8,High Risk,H (HPWRA),01/07/2013,Cymbopogon nardus.pdf,
Poaceae,Cymbopogon winterianus,Cymbopogon ,winterianus,"Burma citronella, Java citronella, Winter's grass",-5,Low Risk,L (HPWRA),01/03/2018,Cymbopogon winterianus.pdf,
Poaceae,Cynodon dactylon,Cynodon ,dactylon,Bermuda grass,22,High Risk,H (HPWRA),15/06/2010,Cynodon dactylon.pdf,
Cyperaceae,Cyperus involucratus,Cyperus ,involucratus,umbrella sedge,17,High Risk,H (HPWRA),06/08/2004,Cyperus involucratus.xls,
Cyperaceae,Cyperus papyrus,Cyperus ,papyrus,"papyrus sedge, paper reed",20,High Risk,H (HPWRA),25/05/2014,Cyperus papyrus.pdf,
Vitaceae,Cyphostemma juttae,Cyphostemma,juttae,"Namibian grape, tree grape, wild grape",-2,Low Risk,L (HPWRA),14/09/2016,Cyphostemma juttae.pdf,
Arecaceae,Cyrtostachys renda,Cyrtostachys ,renda,sealing wax palm,1,Evaluate,Evaluate,17/05/2005,Cytostachys renda.xls,
Fabaceae,Cytisus proliferus var. palmensis,Cytisus,proliferus var. palmensis,"tagasaste, tree-lucerne",14,High Risk,H (HPWRA),09/11/2015,Cytisus proliferus var. palmensis.pdf,
Fabaceae,Cytisus scoparius,Cytisus ,scoparius,"Scotch broom, English broom",16,High Risk,H (Hawaii),03/10/2013,Cytisus scoparius.pdf,
Podocarpaceae,Dacrycarpus dacrydioides,Dacrycarpus ,dacrydioides,"kahikatea, white pine",0,Low Risk,L (HPWRA),19/12/2014,Dacrycarpus dacrydioides.pdf,
Burseraceae,Dacryodes edulis,Dacryodes,edulis,"African-pear, bush buttertree",-3,Low Risk,L (HPWRA),03/04/2012,Dacryodes edulis.pdf,
Poaceae,Dactylis glomerata,Dactylis ,glomerata,"orchard grass, barnyard grass",18,High Risk,H (Hawaii),03/08/2015,Dactylis glomerata.pdf,
Fabaceae,Dalbergia latifolia,Dalbergia ,latifolia,east Indian rosewood,5,Evaluate,Evaluate,19/03/2004,Dalbergia latifolia.xls,
Fabaceae,Dalbergia melanoxylon,Dalbergia ,melanoxylon,"African blackwood, African ebony",8,High Risk,H (HPWRA),27/04/2015,Dalbergia melanoxylon.pdf,
Fabaceae,Dalbergia nigra,Dalbergia ,nigra,Brazilian rosewood,5,Evaluate,Evaluate,01/02/2014,Dalbergia nigra.pdf,
Fabaceae,Dalbergia retusa,Dalbergia ,retusa,Nicaragua rosewood,0,Low Risk,L (HPWRA),19/03/2004,Dalbergia retusa.xls,
Fabaceae,Dalbergia sissoo,Dalbergia ,sissoo,Indian rosewood,13,High Risk,H (HPWRA),19/03/2004,Dalbergia sissoo.xls,
Agavaceae,Dasylirion acrotrichum,Dasylirion ,acrotrichum,green desert spoon,0,Low Risk,L (HPWRA),02/11/2006,Dasylirion acrotrichum.xls,
Agavaceae,Dasylirion quadrangulatum,Dasylirion ,quadrangulatum,Mexican grass tree,-4,Low Risk,L (HPWRA),15/06/2005,Dasylirion quadrangulatum.xls,
Davalliaceae,Davallia fejeensis,Davallia ,fejeensis,lacy hare’s-foot fern,6,Low Risk,L (HPWRA),28/04/2009,Davallia fejeensis.xls,
Davalliaceae,Davallia solida,Davallia ,solida,giant hare's foot fern,4,Low Risk,L (HPWRA),14/11/2016,Davallia solida.pdf,
Asteraceae,Delairea odorata,Delairea ,odorata,German ivy,14,High Risk,H (Hawaii),07/10/2002,Delairea odorata.xls,
Fabaceae,Delonix regia,Delonix ,regia,royal poinciana,-1,Low Risk,L (HPWRA),07/10/2002,Delonix regia.xls,
Fabaceae,Delonix velutina,Delonix ,velutina,No common name,-6,Low Risk,L (HPWRA),22/10/2009,Delonix velutina.xls,
Orchidaceae,Dendrobium anosmum,Dendrobium ,anosmum,hono hono orchid,1,Low Risk,L (HPWRA),26/03/2015,Dendrobium anosmum.pdf,
Poaceae,Dendrocalamus asper,Dendrocalamus,asper,giant bamboo,-3,Low Risk,L (HPWRA),18/03/2013,Dendrocalamus asper.pdf,
Poaceae,Dendrocalamus brandisii,Dendrocalamus,brandisii,velvetleaf bamboo,2,Evaluate,Evaluate,14/04/2013,Dendrocalamus brandisii.pdf,
Poaceae,Dendrocalamus sikkimensis,Dendrocalamus,sikkimensis,Philippine sweet shoot bamboo,0,Low Risk,L (HPWRA),03/04/2013,Dendrocalamus sikkimensis.pdf,
Bignoniaceae,Deplanchea tetraphylla,Deplanchea ,tetraphylla,"golden bouquet tree, yellow pagoda tree",-2,Low Risk,L (HPWRA),14/12/2010,Deplanchea tetraphylla.pdf,
Scrophulariaceae,Dermatobotrys saundersii,Dermatobotrys ,saundersii,Dermatobotrys,-3,Low Risk,L (HPWRA),19/05/2017,Dermatobotrys saundersii.pdf,
Fabaceae,Derris elliptica,Derris ,elliptica,tubaroot,7,High Risk,H (HPWRA),02/07/2009,Derris elliptica.xls,
Fabaceae,Desmanthus virgatus,Desmanthus ,virgatus,slender mimosa,12,High Risk,H (HPWRA),30/04/2004,Desmanthus virgatus.xls,
Fabaceae,Desmodium nicaraguense,Desmodium ,nicaraguense,shrubby desmodium,-2,Low Risk,L (HPWRA),15/07/2003,Desmodium nicaraguense.xls,
Fabaceae,Desmodium umbellatum,Desmodium ,umbellatum,horse bush,5,Low Risk,L (HPWRA),20/11/2002,Desmodium umbellatum.xls,
Liliaceae,Dianella caerulea,Dianella ,caerulea,cerulean flaxlily,5,Evaluate,Evaluate,15/06/2005,Dianella caerulea.xls,
Liliaceae,Dianella revoluta,Dianella ,revoluta,spreading flax lily,2,Low Risk,L (HPWRA),08/06/2005,Dianella revoluta.xls,
Liliaceae,Dianella tasmanica,Dianella ,tasmanica,Tasman flax lily,0,Low Risk,L (HPWRA),08/06/2005,Dianella tasmanica.xls,
Commelinaceae,Dichorisandra thyrsiflora,Dichorisandra ,thyrsiflora,blue ginger,1,Low Risk,L (HPWRA),12/08/2004,Dichorisandra thyrsiflora.xls,
Fabaceae,Dichrostachys cinerea,Dichrostachys ,cinerea,sickle bush,16,High Risk,H (HPWRA),23/01/2004,Dichrostachys cinerea.xls,
Dicksoniaceae,Dicksonia antarctica,Dicksonia,antarctica,"soft tree fern, Tasmanian tree fern",11,High Risk,H (HPWRA),05/05/2014,Dicksonia antarctica.pdf,
Acanthaceae,Dicliptera chinensis,Dicliptera ,chinensis,"Chinese foldwing, double folding wing plant",9,High Risk,H (Hawaii),20/06/2014,Dicliptera chinensis.pdf,
Arecaceae,Dictyosperma album,Dictyosperma ,album,hurricane palm,-3,Low Risk,L (HPWRA),12/12/2003,Dictyosperma alba.xls,
Hypodematiaceae,Didymochlaena truncatula,Didymochlaena,truncatula,"mahogany fern, moon fern, tree maidenhair",4,Evaluate,Evaluate,23/12/2014,Didymochlaena truncatula.pdf,
Araceae,Dieffenbachia seguine,Dieffenbachia  ,seguine,dumbcane,7,High Risk,H (HPWRA),12/08/2004,Dieffenbachia seguine.xls,
Scrophulariaceae,Digitalis purpurea,Digitalis ,purpurea,foxglove,7.5,High Risk,H (HPWRA),23/11/2008,Digitalis purpurea.xls,
Poaceae,Digitaria abyssinica,Digitaria ,abyssinica,African couch grass,16,High Risk,H (HPWRA),02/02/2012,Digitaria abyssinica.pdf,
Poaceae,Digitaria eriantha,Digitaria ,eriantha,pangola grass,8,High Risk,H (HPWRA),10/12/2014,Digitaria eriantha.pdf,
Poaceae,Digitaria insularis,Digitaria ,insularis,sour grass,20,High Risk,H (Hawaii),16/11/2009,Digitaria insularis.xls,
Dilleniaceae,Dillenia indica,Dillenia,indica,elephant apple,0,Low Risk,L (HPWRA),31/01/2013,Dillenia indica.pdf,
Dilleniaceae,Dillenia suffruticosa,Dillenia ,suffruticosa,"shrubby dillenia, shrubby simpoh",11,High Risk,H (HPWRA),22/06/2015,Dillenia suffruticosa.pdf,
Sapindaceae,Dimocarpus longan,Dimocarpus ,longan,"dragon's eye, longan",-2,Low Risk,L (Hawaii),15/10/2010,Dimocarpus longan.pdf,
Dioscoreaceae,Dioscorea bulbifera,Dioscorea ,bulbifera,air-potato,13,High Risk,H (HPWRA),16/11/2009,Dioscorea bulbifera.xls,
Ebenaceae,Diospyros blancoi,Diospyros,blancoi,"mabolo, velvet apple",-1,Low Risk,L (HPWRA),27/07/2012,Diospyros blancoi.pdf,
Ebenaceae,Diospyros digyna,Diospyros,digyna,"black sapote, sapote negro",7,High Risk,H (HPWRA),27/03/2012,Diospyros digyna.pdf,
Ebenaceae,Diospyros vaccinioides,Diospyros ,vaccinioides,small persimmon,0,Low Risk,L (HPWRA),14/12/2010,Diospyros vaccinioides.pdf,
Fabaceae,Diphysa americana,Diphysa ,americana,guachipelín,0,Low Risk,L (HPWRA),09/02/2004,Diphysa americana.xls,
Dryopteridaceae,Diplazium esculentum,Diplazium ,esculentum,vegetable fern,8,High Risk,H (HPWRA),22/06/2011,Diplazium esculentum.pdf,
Apocynaceae,Dischidia ovata,Dischidia,ovata,watermelon Dischidia,0,Low Risk,L (HPWRA),05/11/2012,Dischidia ovata.pdf,
Melastomataceae,Dissotis rotundifolia,Dissotis ,rotundifolia,dissotis,10,High Risk,H (HPWRA),19/02/2004,Dissotis rotundifolia.xls,
Bignoniaceae,Dolichandrone spathacea,Dolichandrone ,spathacea,mangrove trumpet-tree,-5,Low Risk,L (HPWRA),28/04/2009,Dolichandrone spathacea.xls,
Fabaceae,Dolichos lablab,Dolichos ,lablab,lablab bean,-1,Low Risk,L (HPWRA),09/03/2007,Dolichos lablab.xls,
Malvaceae,Dombeya × cayeuxii,Dombeya ,× cayeuxii,"Mexican rosetree, pink snowball, pompomtree",-7,Low Risk,L (HPWRA),06/12/2017,Dombeya × cayeuxii.pdf,
Moraceae,Dorstenia contrajerva,Dorstenia ,contrajerva,"contrahierba, snakewort",9,High Risk,H (HPWRA),26/08/2011,Dorstenia contrajerva.pdf,
Doryanthaceae,Doryanthes excelsa,Doryanthes ,excelsa,"gymea lily, flame lily",0,Low Risk,L (HPWRA),16/05/2011,Doryanthes excelsa.pdf,
Salicaceae,Dovyalis caffra,Dovyalis,caffra,"kei apple, wild apricot",6,High Risk,H (HPWRA),20/11/2013,Dovyalis caffra.pdf,
Salicaceae,Dovyalis hebecarpa,Dovyalis ,hebecarpa,Ceylon gooseberry,7,High Risk,H (HPWRA),23/02/2011,Dovyalis hebecarpa.pdf,
Asparagaceae,Dracaena draco,Dracaena ,draco,dragon tree,-5,Low Risk,L (HPWRA),07/10/2002,Dracaena draco.xls,
Asparagaceae,Dracaena fragrans,Dracaena ,fragrans,corn plant,0,Low Risk,L (HPWRA),11/05/2004,Dracaena fragrans.xls,
Asparagaceae,Dracaena marginata,Dracaena ,marginata,money tree,-1,Low Risk,L (HPWRA),11/04/2003,Dracaena marginata.xls,
Asparagaceae,Dracaena marginata 'Tricolor',Dracaena  ,marginata 'Tricolor',tricolor dracaena,-1,Low Risk,L (HPWRA),21/06/2010,Dracaena marginata tricolor.pdf,
Asparagaceae,Dracaena reflexa,Dracaena ,reflexa,"song of India, pleomele",-1,Low Risk,L (HPWRA),06/04/2015,Dracaena reflexa.pdf,
Poaceae,Drepanostachyum khasianum,Drepanostachyum,khasianum,Khasia bamboo,0,Low Risk,L (HPWRA),08/05/2013,Drepanostachyum khasianum.pdf,
Verbenaceae,Duranta erecta,Duranta ,erecta,golden dew drop,13,High Risk,H (HPWRA),01/08/2003,Duranta erecta.xls,
Malvaceae,Durio zibethinus,Durio,zibethinus,durian,-2,Low Risk,L (HPWRA),27/02/2012,Durio zibethinus.pdf,
Arecaceae,Dypsis cabadae,Dypsis,cabadae,cabada palm,0,Low Risk,L (HPWRA),20/10/2013,Dypsis cabadae.pdf,
Arecaceae,Dypsis decaryi,Dypsis ,decaryi,triangle palm,-7,Low Risk,L (HPWRA),02/11/2006,Dypsis decaryi.xls,
Arecaceae,Dypsis lanceolata,Dypsis,lanceolata,ivovowo palm,0,Low Risk,L (HPWRA),12/12/2012,Dypsis lanceolata.pdf,
Arecaceae,Dypsis leptocheilos,Dypsis ,leptocheilos,teddy bear palm,-2,Low Risk,L (HPWRA),07/09/2010,Dypsis leptocheilos.pdf,
Arecaceae,Dypsis lutescens,Dypsis ,lutescens,areca palm,2,Low Risk,L (Hawaii),27/08/2004,Dypsis lutescens.xls,
Arecaceae,Dypsis madagascariensis,Dypsis,madagascariensis,Malagasy palm,5,Evaluate,Evaluate,03/04/2012,Dypsis madagascariensis.pdf,
Arecaceae,Dypsis pembana,Dypsis,pembana,"pemba palm, Mpapindi",0,Low Risk,L (HPWRA),26/12/2012,Dypsis pembana.pdf,
Chenopodiaceae,Dysphania ambrosioides,Dysphania ,ambrosioides,American wormseed,15,High Risk,H (HPWRA),30/08/2010,Dysphania ambrosioides.pdf,
Poaceae,Echinochloa esculenta,Echinochloa ,esculenta,Japanese millet,8,High Risk,H (HPWRA),22/01/2008,Echinochloa esculenta.xls,
Poaceae,Ehrharta calycina,Ehrharta,calycina,"perennial veldt grass, purple veldtgrass",18,High Risk,H (HPWRA),16/11/2015,Ehrharta calycina.pdf,
